date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-9952978.0,5181447.0,4771531.0,-9616034.0,-336944.0,-10.05,5.23,4.82,-9.71,-0.34,23.33,-0.43,0.0,0.0
2020-01-09,-1424440.0,8492582.0,-7068142.0,-1283339.0,-141101.0,-1.39,8.29,-6.9,-1.25,-0.14,23.79,1.97,0.0,0.0
2020-01-10,-2715364.0,811497.0,1903867.0,-439777.0,-2275587.0,-2.37,0.71,1.66,-0.38,-1.98,23.38,-1.72,0.0,0.0
2020-01-13,2774367.0,508396.0,-3282762.0,3827966.0,-1053599.0,3.54,0.65,-4.19,4.88,-1.34,23.56,0.77,0.0,0.0
2020-01-14,-4346051.0,-2115726.0,6461777.0,-2411722.0,-1934329.0,-3.09,-1.5,4.59,-1.71,-1.38,24.35,3.35,0.0,0.0
2020-01-15,-5306308.0,1310328.0,3995980.0,-6548944.0,1242636.0,-4.09,1.01,3.08,-5.05,0.96,24.35,0.0,0.0,0.0
2020-01-16,-4347522.0,-6656192.0,11003714.0,-763872.0,-3583650.0,-3.67,-5.61,9.28,-0.64,-3.02,24.13,-0.9,0.0,0.0
2020-01-17,6406837.0,-1858724.0,-4548113.0,3809707.0,2597130.0,4.83,-1.4,-3.43,2.87,1.96,25.0,3.61,0.0,0.0
2020-01-20,4467496.0,-8734467.0,4266972.0,1327434.0,3140062.0,4.77,-9.33,4.56,1.42,3.36,25.4,1.6,0.0,0.0
2020-01-21,-8794662.0,15845890.0,-7051228.0,-8794662.0,0.0,-10.03,18.06,-8.04,-10.03,0.0,24.55,-3.35,0.0,0.0
2020-01-22,-7187304.0,13382127.0,-6194822.0,-4150903.0,-3036401.0,-5.26,9.78,-4.53,-3.04,-2.22,24.14,-1.67,0.0,0.0
2020-01-23,-8866291.0,14991655.0,-6125364.0,-7464837.0,-1401454.0,-5.97,10.09,-4.12,-5.02,-0.94,23.42,-2.98,0.0,0.0
2020-02-03,-2265854.0,3620507.0,-1354653.0,-4049070.0,1783216.0,-2.35,3.75,-1.4,-4.2,1.85,21.08,-9.99,0.0,0.0
2020-02-04,-5192135.0,2866481.0,2325654.0,-3436603.0,-1755532.0,-3.9,2.15,1.75,-2.58,-1.32,21.75,3.18,0.0,0.0
2020-02-05,5038300.0,-14582305.0,9544006.0,5225382.0,-187082.0,3.39,-9.81,6.42,3.52,-0.13,22.25,2.3,0.0,0.0
2020-02-06,-4357248.0,-3700864.0,8058112.0,-955618.0,-3401630.0,-3.43,-2.92,6.35,-0.75,-2.68,22.61,1.62,0.0,0.0
