date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-10827231.0,17541647.0,-6714416.0,-10024295.0,-802936.0,-10.25,16.61,-6.36,-9.49,-0.76,50.22,-1.93,0.0,0.0
2020-01-09,-5996093.0,10760177.0,-4764084.0,812641.0,-6808734.0,-5.84,10.47,-4.64,0.79,-6.63,50.08,-0.28,0.0,0.0
2020-01-10,-14076407.0,12924368.0,1152039.0,-12364919.0,-1711488.0,-11.34,10.41,0.93,-9.96,-1.38,49.88,-0.4,0.0,0.0
2020-01-13,-413060.0,-226341.0,639401.0,-413060.0,0.0,-0.36,-0.2,0.56,-0.36,0.0,51.09,2.43,0.0,0.0
2020-01-14,-12605446.0,140205.0,12465241.0,-2227387.0,-10378059.0,-8.53,0.09,8.44,-1.51,-7.02,50.58,-1.0,0.0,0.0
2020-01-15,-8635263.0,7789755.0,845509.0,-6192201.0,-2443062.0,-8.92,8.05,0.87,-6.4,-2.52,50.38,-0.4,0.0,0.0
2020-01-16,-9294710.0,7476653.0,1818057.0,-1404226.0,-7890484.0,-6.78,5.45,1.33,-1.02,-5.76,51.04,1.31,0.0,0.0
2020-01-17,134674.0,12263590.0,-12398264.0,495962.0,-361288.0,0.12,11.34,-11.46,0.46,-0.33,51.4,0.71,0.0,0.0
2020-01-20,-8878519.0,5089025.0,3789493.0,-4364013.0,-4514506.0,-10.2,5.84,4.35,-5.01,-5.18,51.26,-0.27,0.0,0.0
2020-01-21,-9240761.0,15501515.0,-6260755.0,-8101104.0,-1139657.0,-8.74,14.66,-5.92,-7.66,-1.08,51.01,-0.49,0.0,0.0
2020-01-22,-5012867.0,12299508.0,-7286642.0,-1668289.0,-3344578.0,-3.2,7.85,-4.65,-1.07,-2.14,51.19,0.35,0.0,0.0
2020-01-23,-9214166.0,12420507.0,-3206339.0,-6850008.0,-2364158.0,-6.7,9.03,-2.33,-4.98,-1.72,49.59,-3.13,0.0,0.0
2020-02-03,-8975178.0,7884793.0,1090385.0,383814.0,-9358992.0,-5.36,4.71,0.65,0.23,-5.58,44.61,-10.04,0.0,0.0
2020-02-04,-1398050.0,-1862072.0,3260122.0,1097486.0,-2495536.0,-0.63,-0.84,1.47,0.49,-1.12,46.89,5.11,0.0,0.0
2020-02-05,-3828829.0,2788375.0,1040454.0,-3125225.0,-703604.0,-2.37,1.73,0.64,-1.94,-0.44,46.89,0.0,0.0,0.0
2020-02-06,-30224807.0,9397269.0,20827538.0,-19810326.0,-10414481.0,-17.94,5.58,12.36,-11.76,-6.18,46.89,0.0,0.0,0.0
2020-02-07,1099205.0,-1799897.0,700693.0,-739090.0,1838295.0,0.91,-1.49,0.58,-0.61,1.52,47.21,0.68,0.0,0.0
2020-02-10,5415641.0,-14445633.0,9029991.0,4833541.0,582100.0,3.99,-10.63,6.64,3.56,0.43,47.73,1.1,0.0,0.0
2020-02-11,7715095.0,-15080490.0,7365395.0,8359717.0,-644622.0,5.34,-10.43,5.09,5.78,-0.45,48.01,0.59,0.0,0.0
2020-02-12,-7922210.0,16698782.0,-8776572.0,-5193976.0,-2728234.0,-7.71,16.26,-8.54,-5.06,-2.66,48.02,0.02,0.0,0.0
