date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-16843483.0,18327316.0,-1483833.0,-13193683.0,-3649800.0,-15.74,17.13,-1.39,-12.33,-3.41,26.32,-3.13,0.0,0.0
2020-01-09,-866494.0,-845598.0,1712090.0,-1739694.0,873200.0,-1.29,-1.26,2.55,-2.59,1.3,26.55,0.87,0.0,0.0
2020-01-10,-1701561.0,2491477.0,-789916.0,-311835.0,-1389726.0,-2.8,4.1,-1.3,-0.51,-2.29,26.56,0.04,0.0,0.0
2020-01-13,-5073283.0,5893930.0,-820647.0,-3661717.0,-1411566.0,-8.37,9.73,-1.35,-6.04,-2.33,26.61,0.19,0.0,0.0
2020-01-14,-1493252.0,-464443.0,1957695.0,29948.0,-1523200.0,-1.62,-0.5,2.12,0.03,-1.65,26.71,0.38,0.0,0.0
2020-01-15,-5705954.0,7485812.0,-1779858.0,-5705954.0,0.0,-10.5,13.78,-3.28,-10.5,0.0,26.46,-0.94,0.0,0.0
2020-01-16,-4456600.0,6529544.0,-2072945.0,-3046484.0,-1410116.0,-8.37,12.26,-3.89,-5.72,-2.65,26.26,-0.76,0.0,0.0
2020-01-17,-1119472.0,1138907.0,-19435.0,-1119472.0,0.0,-1.83,1.87,-0.03,-1.83,0.0,26.58,1.22,0.0,0.0
2020-01-20,-2631857.0,771203.0,1860654.0,-2631857.0,0.0,-4.53,1.33,3.2,-4.53,0.0,26.73,0.56,0.0,0.0
2020-01-21,-8361204.0,9182863.0,-821657.0,-5989531.0,-2371673.0,-14.33,15.74,-1.41,-10.26,-4.06,26.18,-2.06,0.0,0.0
2020-01-22,-8462666.0,12561147.0,-4098480.0,-7096801.0,-1365865.0,-10.95,16.25,-5.3,-9.18,-1.77,25.56,-2.37,0.0,0.0
2020-01-23,-12758097.0,17733647.0,-4975550.0,-9031038.0,-3727059.0,-16.29,22.64,-6.35,-11.53,-4.76,24.49,-4.19,0.0,0.0
2020-02-03,-2398534.0,4963049.0,-2564515.0,-2398534.0,0.0,-11.63,24.06,-12.43,-11.63,0.0,22.01,-10.13,0.0,0.0
2020-02-04,-8354520.0,11856157.0,-3501637.0,-7168500.0,-1186020.0,-9.18,13.03,-3.85,-7.88,-1.3,21.21,-3.63,0.0,0.0
2020-02-05,204506.0,-540498.0,335992.0,-559324.0,763830.0,0.3,-0.79,0.49,-0.82,1.12,21.66,2.12,0.0,0.0
2020-02-06,-1392920.0,373129.0,1019792.0,-1392920.0,0.0,-2.05,0.55,1.5,-2.05,0.0,22.0,1.57,0.0,0.0
2020-02-07,-1238925.0,2147354.0,-908431.0,-1085502.0,-153423.0,-2.05,3.56,-1.51,-1.8,-0.25,22.21,0.95,0.0,0.0
2020-02-10,-209959.0,154036.0,55922.0,-209959.0,0.0,-0.43,0.32,0.12,-0.43,0.0,22.41,0.9,0.0,0.0
2020-02-11,2053315.0,-351124.0,-1702192.0,1432021.0,621294.0,2.5,-0.43,-2.07,1.74,0.76,22.76,1.56,0.0,0.0
2020-02-12,-954583.0,498439.0,456145.0,-1475883.0,521300.0,-1.76,0.92,0.84,-2.72,0.96,22.85,0.4,0.0,0.0
2020-02-13,-8179448.0,10132226.0,-1952777.0,-8675743.0,496295.0,-13.01,16.12,-3.11,-13.8,0.79,22.34,-2.23,0.0,0.0
2020-02-14,-2635880.0,2990259.0,-354379.0,-2635880.0,0.0,-6.0,6.8,-0.81,-6.0,0.0,22.39,0.22,0.0,0.0
2020-02-17,870.0,-5031893.0,5031022.0,-1216785.0,1217655.0,0.0,-7.16,7.16,-1.73,1.73,23.13,3.31,0.0,0.0
2020-02-18,9251544.0,-14894238.0,5642695.0,11875427.0,-2623883.0,6.27,-10.09,3.82,8.05,-1.78,24.28,4.97,0.0,0.0
2020-02-19,17719811.0,-23469337.0,5749526.0,13260351.0,4459460.0,7.86,-10.42,2.55,5.89,1.98,25.43,4.74,0.0,0.0
