date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-8805180.0,11331142.0,-2525961.0,-8605505.0,-199675.0,-14.04,18.07,-4.03,-13.72,-0.32,10.89,-0.55,0.0,0.0
2020-01-09,2224558.0,-110385.0,-2114173.0,-3050898.0,5275456.0,3.4,-0.17,-3.23,-4.66,8.06,10.92,0.28,0.0,0.0
2020-01-10,1869566.0,-2950759.0,1081193.0,1869566.0,0.0,4.08,-6.43,2.36,4.08,0.0,10.97,0.46,0.0,0.0
2020-01-13,5232290.0,1359404.0,-6591694.0,5232290.0,0.0,6.47,1.68,-8.15,6.47,0.0,10.91,-0.55,0.0,0.0
2020-01-14,1759485.0,1586271.0,-3345756.0,2818259.0,-1058774.0,2.69,2.42,-5.11,4.31,-1.62,10.65,-2.38,0.0,0.0
2020-01-15,-1295622.0,3113766.0,-1818144.0,-2409965.0,1114343.0,-2.99,7.18,-4.19,-5.56,2.57,10.78,1.22,0.0,0.0
2020-01-16,-3219884.0,3666536.0,-446652.0,-4443884.0,1224000.0,-8.84,10.07,-1.23,-12.2,3.36,10.95,1.58,0.0,0.0
2020-01-17,999724.0,-5436542.0,4436818.0,-1087965.0,2087689.0,1.64,-8.9,7.26,-1.78,3.42,11.13,1.64,0.0,0.0
2020-01-20,-3748759.0,-129432.0,3878191.0,-895458.0,-2853301.0,-7.34,-0.25,7.6,-1.75,-5.59,10.8,-2.96,0.0,0.0
2020-01-21,348132.0,-65553.0,-282579.0,348132.0,0.0,1.17,-0.22,-0.95,1.17,0.0,10.66,-1.3,0.0,0.0
2020-01-22,-856898.0,3298090.0,-2441192.0,-856898.0,0.0,-2.97,11.43,-8.46,-2.97,0.0,10.52,-1.31,0.0,0.0
2020-01-23,-988448.0,4323229.0,-3334781.0,-988448.0,0.0,-2.47,10.82,-8.35,-2.47,0.0,10.04,-4.56,0.0,0.0
2020-02-03,-5617773.0,3439357.0,2178417.0,-5617773.0,0.0,-15.73,9.63,6.1,-15.73,0.0,9.0,-10.36,0.0,0.0
2020-02-04,7353877.0,-2628715.0,-4725162.0,6993643.0,360234.0,14.29,-5.11,-9.18,13.59,0.7,9.68,7.56,0.0,0.0
2020-02-05,-1505100.0,-3328797.0,4833897.0,-2512483.0,1007383.0,-3.57,-7.89,11.46,-5.96,2.39,9.5,-1.86,0.0,0.0
2020-02-06,-2236545.0,708899.0,1527646.0,-2236545.0,0.0,-7.5,2.38,5.13,-7.5,0.0,9.6,1.05,0.0,0.0
2020-02-07,-1869214.0,1438426.0,430788.0,-1869214.0,0.0,-4.77,3.67,1.1,-4.77,0.0,9.78,1.88,0.0,0.0
2020-02-10,11469.0,-2795052.0,2783583.0,1329.0,10140.0,0.03,-7.34,7.31,0.0,0.03,9.95,1.74,0.0,0.0
2020-02-11,-538932.0,-615240.0,1154172.0,-538932.0,0.0,-1.65,-1.89,3.54,-1.65,0.0,9.73,-2.21,0.0,0.0
2020-02-12,1720212.0,-86561.0,-1633651.0,1720212.0,0.0,8.25,-0.41,-7.83,8.25,0.0,9.79,0.62,0.0,0.0
2020-02-13,-236414.0,367641.0,-131227.0,819841.0,-1056255.0,-0.68,1.06,-0.38,2.36,-3.04,9.66,-1.33,0.0,0.0
2020-02-14,11260583.0,343029.0,-11603611.0,7281983.0,3978600.0,11.86,0.36,-12.22,7.67,4.19,10.66,10.35,0.0,0.0
2020-02-17,1122726.0,1620495.0,-2743221.0,-5142611.0,6265337.0,0.81,1.17,-1.98,-3.7,4.51,11.41,7.04,0.0,0.0
2020-02-18,-8788004.0,3782366.0,5005638.0,-8746784.0,-41220.0,-10.45,4.5,5.95,-10.4,-0.05,11.21,-1.75,0.0,0.0
2020-02-19,-355476.0,-3267824.0,3623301.0,-2554406.0,2198930.0,-0.37,-3.43,3.8,-2.68,2.31,11.6,3.48,0.0,0.0
2020-02-20,-2864285.0,5259400.0,-2395116.0,-1747967.0,-1116318.0,-4.83,8.87,-4.04,-2.95,-1.88,11.5,-0.86,0.0,0.0
2020-02-21,-20758056.0,20525875.0,232181.0,-20748520.0,-9536.0,-24.73,24.45,0.28,-24.72,-0.01,11.15,-3.04,0.0,0.0
2020-02-24,229734.0,2211482.0,-2441216.0,229734.0,0.0,0.49,4.76,-5.26,0.49,0.0,11.15,0.0,0.0,0.0
2020-02-25,-8916259.0,14247697.0,-5331437.0,-9533969.0,617710.0,-10.44,16.68,-6.24,-11.16,0.72,10.6,-4.93,0.0,0.0
2020-02-26,-2983379.0,796337.0,2187041.0,-2983379.0,0.0,-6.4,1.71,4.69,-6.4,0.0,10.28,-3.02,0.0,0.0
2020-02-27,426113.0,416291.0,-842405.0,426113.0,0.0,1.06,1.04,-2.1,1.06,0.0,10.38,0.97,0.0,0.0
2020-02-28,-2521139.0,2829664.0,-308525.0,-4049029.0,1527890.0,-3.78,4.24,-0.46,-6.06,2.29,9.78,-5.78,0.0,0.0
2020-03-02,2350737.0,-1027219.0,-1323518.0,2375961.0,-25224.0,4.91,-2.15,-2.77,4.97,-0.05,10.11,3.37,0.0,0.0
2020-03-03,-762452.0,1016793.0,-254341.0,-1670521.0,908069.0,-1.33,1.78,-0.44,-2.92,1.59,10.07,-0.4,0.0,0.0
2020-03-04,-8137393.0,6386686.0,1750707.0,-6580555.0,-1556838.0,-12.67,9.94,2.72,-10.24,-2.42,10.2,1.29,0.0,0.0
2020-03-05,4544341.0,-3742680.0,-801662.0,5608143.0,-1063802.0,7.16,-5.9,-1.26,8.84,-1.68,10.45,2.45,0.0,0.0
2020-03-06,377423.0,724133.0,-1101556.0,579383.0,-201960.0,0.64,1.22,-1.85,0.98,-0.34,10.67,2.11,0.0,0.0
2020-03-09,-8290159.0,7114404.0,1175755.0,-7226713.0,-1063446.0,-13.39,11.49,1.9,-11.67,-1.72,10.26,-3.84,0.0,0.0
2020-03-10,4546591.0,-3582262.0,-964329.0,3830387.0,716204.0,7.14,-5.63,-1.52,6.02,1.13,10.7,4.29,0.0,0.0
2020-03-11,5446359.0,-6489861.0,1043502.0,5209328.0,237031.0,5.31,-6.32,1.02,5.08,0.23,10.89,1.78,0.0,0.0
2020-03-12,-343338.0,-2616748.0,2960086.0,-243828.0,-99510.0,-0.52,-3.94,4.46,-0.37,-0.15,10.46,-3.95,0.0,0.0
2020-03-13,-1365211.0,984789.0,380423.0,-1365211.0,0.0,-3.08,2.22,0.86,-3.08,0.0,10.1,-3.44,0.0,0.0
2020-03-16,-3273086.0,1717481.0,1555604.0,-1933743.0,-1339343.0,-7.35,3.86,3.5,-4.35,-3.01,9.48,-6.14,0.0,0.0
2020-03-17,-1063793.0,3153209.0,-2089416.0,-1063793.0,0.0,-2.53,7.49,-4.96,-2.53,0.0,9.05,-4.54,0.0,0.0
2020-03-18,11679935.0,-9922044.0,-1757891.0,-6185267.0,17865202.0,12.53,-10.65,-1.89,-6.64,19.17,9.53,5.3,0.0,0.0
2020-03-19,4606643.0,-3299879.0,-1306765.0,4606643.0,0.0,7.69,-5.51,-2.18,7.69,0.0,9.87,3.57,0.0,0.0
2020-03-20,-2601916.0,2309345.0,292572.0,-2601916.0,0.0,-7.37,6.54,0.83,-7.37,0.0,9.64,-2.33,0.0,0.0
2020-03-23,-1982965.0,2908690.0,-925726.0,-1982965.0,0.0,-6.83,10.02,-3.19,-6.83,0.0,9.07,-5.91,0.0,0.0
2020-03-24,-2275262.0,3984787.0,-1709525.0,-2275262.0,0.0,-6.84,11.98,-5.14,-6.84,0.0,9.0,-0.77,0.0,0.0
2020-03-25,-6087295.0,1246428.0,4840867.0,-6455456.0,368161.0,-10.39,2.13,8.26,-11.02,0.63,9.16,1.78,0.0,0.0
2020-03-26,-942449.0,3015600.0,-2073151.0,-942449.0,0.0,-2.38,7.61,-5.23,-2.38,0.0,8.83,-3.6,0.0,0.0
2020-03-27,-1385764.0,234015.0,1151749.0,-283155.0,-1102609.0,-3.98,0.67,3.31,-0.81,-3.17,8.79,-0.45,0.0,0.0
2020-03-30,-699258.0,2797816.0,-2098558.0,-699258.0,0.0,-2.27,9.1,-6.82,-2.27,0.0,8.5,-3.3,0.0,0.0
2020-03-31,-2913992.0,3455361.0,-541370.0,-2913992.0,0.0,-5.36,6.36,-1.0,-5.36,0.0,8.2,-3.53,0.0,0.0
2020-04-01,-19981639.0,12060118.0,7921522.0,-18316283.0,-1665356.0,-31.48,19.0,12.48,-28.85,-2.62,7.92,-3.41,0.0,0.0
2020-04-02,192473.0,678472.0,-870945.0,192473.0,0.0,0.46,1.63,-2.09,0.46,0.0,8.05,1.64,0.0,0.0
2020-04-03,-680462.0,1112757.0,-432294.0,-680462.0,0.0,-2.17,3.54,-1.38,-2.17,0.0,7.9,-1.86,0.0,0.0
2020-04-07,2226868.0,-2190612.0,-36257.0,2434390.0,-207522.0,4.82,-4.74,-0.08,5.27,-0.45,8.25,4.43,0.0,0.0
2020-04-08,-103437.0,1041507.0,-938070.0,-665017.0,561580.0,-0.35,3.57,-3.22,-2.28,1.93,8.26,0.12,0.0,0.0
2020-04-09,-1176423.0,1269699.0,-93276.0,-1176423.0,0.0,-4.38,4.73,-0.35,-4.38,0.0,8.18,-0.97,0.0,0.0
2020-04-10,-669284.0,1068968.0,-399685.0,-669284.0,0.0,-2.36,3.76,-1.41,-2.36,0.0,7.95,-2.81,0.0,0.0
2020-04-13,-507184.0,-454486.0,961670.0,-507184.0,0.0,-1.98,-1.77,3.75,-1.98,0.0,7.85,-1.26,0.0,0.0
2020-04-14,2026585.0,-2466392.0,439807.0,2026585.0,0.0,4.48,-5.45,0.97,4.48,0.0,8.25,5.1,0.0,0.0
2020-04-15,-327681.0,-1347581.0,1675263.0,-327681.0,0.0,-0.58,-2.38,2.96,-0.58,0.0,8.36,1.33,0.0,0.0
2020-04-16,-172398.0,815344.0,-642946.0,-172398.0,0.0,-0.56,2.64,-2.08,-0.56,0.0,8.19,-2.03,0.0,0.0
2020-04-17,1921168.0,-681309.0,-1239859.0,362863.0,1558305.0,6.53,-2.32,-4.21,1.23,5.3,8.2,0.12,0.0,0.0
2020-04-20,2223641.0,-2204855.0,-18786.0,2155415.0,68226.0,5.75,-5.7,-0.05,5.58,0.18,8.46,3.17,0.0,0.0
2020-04-21,1980383.0,887113.0,-2867496.0,1989263.0,-8880.0,4.16,1.86,-6.03,4.18,-0.02,8.54,0.95,0.0,0.0
2020-04-22,-826609.0,665404.0,161204.0,-826609.0,0.0,-3.7,2.98,0.72,-3.7,0.0,8.6,0.7,0.0,0.0
2020-04-23,-347002.0,2322870.0,-1975868.0,-347002.0,0.0,-1.58,10.59,-9.01,-1.58,0.0,8.54,-0.7,0.0,0.0
2020-04-24,-341436.0,-860946.0,1202383.0,-189536.0,-151900.0,-1.13,-2.86,3.99,-0.63,-0.5,8.39,-1.76,0.0,0.0
2020-04-27,-5159952.0,4529953.0,630000.0,-5159952.0,0.0,-14.11,12.39,1.72,-14.11,0.0,8.18,-2.5,0.0,0.0
2020-04-28,-848100.0,-492091.0,1340192.0,-848100.0,0.0,-3.25,-1.89,5.14,-3.25,0.0,7.91,-3.3,0.0,0.0
2020-04-29,-416908.0,1461607.0,-1044700.0,-416908.0,0.0,-1.92,6.75,-4.82,-1.92,0.0,7.96,0.63,0.0,0.0
2020-04-30,449449.0,-886984.0,437536.0,425269.0,24180.0,2.06,-4.07,2.01,1.95,0.11,8.25,3.64,0.0,0.0
2020-05-06,-2183152.0,-32434.0,2215586.0,-2183152.0,0.0,-9.38,-0.14,9.52,-9.38,0.0,8.19,-0.73,0.0,0.0
2020-05-07,-675385.0,-553524.0,1228909.0,-675385.0,0.0,-3.25,-2.67,5.92,-3.25,0.0,8.04,-1.83,0.0,0.0
2020-05-08,3140182.0,-2774153.0,-366029.0,1625341.0,1514841.0,6.99,-6.18,-0.82,3.62,3.37,8.48,5.47,0.0,0.0
2020-05-11,1295053.0,2284285.0,-3579339.0,1588062.0,-293009.0,2.6,4.58,-7.17,3.18,-0.59,8.56,0.94,0.0,0.0
2020-05-12,-438562.0,688929.0,-250367.0,-336801.0,-101761.0,-2.23,3.51,-1.28,-1.72,-0.52,8.4,-1.87,0.0,0.0
2020-05-13,7748967.0,-5634327.0,-2114640.0,7748967.0,0.0,17.95,-13.05,-4.9,17.95,0.0,8.78,4.52,0.0,0.0
2020-05-14,-1693216.0,1189821.0,503396.0,-1693216.0,0.0,-3.7,2.6,1.1,-3.7,0.0,8.85,0.8,0.0,0.0
2020-05-15,2228624.0,-1619143.0,-609482.0,2228624.0,0.0,10.45,-7.59,-2.86,10.45,0.0,8.69,-1.81,0.0,0.0
2020-05-18,18271.0,481683.0,-499954.0,18271.0,0.0,0.1,2.55,-2.64,0.1,0.0,8.69,0.0,0.0,0.0
2020-05-19,659478.0,15373.0,-674852.0,659478.0,0.0,4.6,0.11,-4.7,4.6,0.0,8.74,0.58,0.0,0.0
2020-05-20,1965671.0,-677918.0,-1287755.0,1965671.0,0.0,13.97,-4.82,-9.15,13.97,0.0,8.65,-1.03,0.0,0.0
2020-05-21,460347.0,-1533308.0,1072963.0,183000.0,277347.0,2.2,-7.34,5.14,0.88,1.33,8.46,-2.2,0.0,0.0
2020-05-22,-771862.0,167530.0,604332.0,-771862.0,0.0,-5.98,1.3,4.68,-5.98,0.0,8.4,-0.71,0.0,0.0
2020-05-25,-199744.0,1458811.0,-1259068.0,-199744.0,0.0,-1.18,8.61,-7.43,-1.18,0.0,8.43,0.36,0.0,0.0
2020-05-26,-1117245.0,-1106936.0,2224181.0,-1108060.0,-9185.0,-5.13,-5.08,10.21,-5.09,-0.04,8.35,-0.95,0.0,0.0
2020-05-27,-1536677.0,1714240.0,-177562.0,-453608.0,-1083069.0,-9.92,11.07,-1.15,-2.93,-6.99,8.21,-1.68,0.0,0.0
2020-05-28,2012556.0,-2159128.0,146572.0,314928.0,1697628.0,7.55,-8.1,0.55,1.18,6.37,8.49,3.41,0.0,0.0
2020-05-29,-3384904.0,299540.0,3085365.0,-3384904.0,0.0,-12.73,1.13,11.61,-12.73,0.0,8.3,-2.24,0.0,0.0
2020-06-01,-845625.0,188996.0,656629.0,-3396915.0,2551290.0,-1.86,0.42,1.45,-7.49,5.62,8.46,1.93,0.0,0.0
