date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1069249.0,-1785977.0,716728.0,1069249.0,0.0,3.74,-6.25,2.51,3.74,0.0,10.84,0.09,0.0,0.0
2020-01-09,73942.0,-452018.0,378076.0,73942.0,0.0,0.41,-2.53,2.12,0.41,0.0,10.25,1.08,0.0,0.0
2020-01-10,389282.0,-1462458.0,1073175.0,389282.0,0.0,2.71,-10.18,7.47,2.71,0.0,10.17,-0.78,0.0,0.0
2020-01-13,-53842.0,856768.0,-802926.0,-53842.0,0.0,-0.42,6.62,-6.2,-0.42,0.0,10.13,-0.39,0.0,0.0
2020-01-14,-271728.0,553984.0,-282256.0,-271728.0,0.0,-2.1,4.28,-2.18,-2.1,0.0,10.08,-0.49,0.0,0.0
2020-01-15,859291.0,2009126.0,-2868418.0,706142.0,153149.0,5.0,11.69,-16.69,4.11,0.89,10.0,-0.79,0.0,0.0
2020-01-16,682911.0,-209654.0,-473257.0,682911.0,0.0,6.32,-1.94,-4.38,6.32,0.0,10.1,1.0,0.0,0.0
2020-01-17,-145497.0,-234341.0,379838.0,-145497.0,0.0,-1.86,-2.99,4.85,-1.86,0.0,10.04,-0.59,0.0,0.0
2020-01-20,-855091.0,927392.0,-72301.0,202670.0,-1057761.0,-6.79,7.37,-0.57,1.61,-8.4,9.96,-0.8,0.0,0.0
2020-01-21,-23154.0,345098.0,-321945.0,-23154.0,0.0,-0.23,3.48,-3.25,-0.23,0.0,9.78,-1.81,0.0,0.0
2020-01-22,126524.0,416547.0,-543071.0,126524.0,0.0,1.21,4.0,-5.21,1.21,0.0,9.63,-1.53,0.0,0.0
2020-01-23,-135980.0,778850.0,-642871.0,-135980.0,0.0,-1.15,6.58,-5.43,-1.15,0.0,9.44,-1.97,0.0,0.0
2020-02-03,276821.0,1459522.0,-1736343.0,276821.0,0.0,5.97,31.47,-37.44,5.97,0.0,8.43,-10.7,0.0,0.0
2020-02-04,-203510.0,1034796.0,-831287.0,-306880.0,103370.0,-1.16,5.88,-4.72,-1.74,0.59,7.93,-5.93,0.0,0.0
2020-02-05,-559910.0,305135.0,254776.0,-559910.0,0.0,-5.38,2.93,2.45,-5.38,0.0,8.16,2.9,0.0,0.0
2020-02-06,-587384.0,1247676.0,-660292.0,-587384.0,0.0,-2.59,5.51,-2.91,-2.59,0.0,8.62,5.64,0.0,0.0
2020-02-07,-27658.0,1214541.0,-1186884.0,-27658.0,0.0,-0.19,8.41,-8.21,-0.19,0.0,8.48,-1.62,0.0,0.0
2020-02-10,-23957.0,138241.0,-114284.0,-23957.0,0.0,-0.23,1.32,-1.09,-0.23,0.0,8.58,1.18,0.0,0.0
2020-02-11,64820.0,-396314.0,331494.0,64820.0,0.0,0.87,-5.33,4.46,0.87,0.0,8.55,-0.35,0.0,0.0
2020-02-12,-463578.0,568015.0,-104436.0,-463578.0,0.0,-6.02,7.38,-1.36,-6.02,0.0,8.61,0.7,0.0,0.0
2020-02-13,-475179.0,691815.0,-216635.0,-341903.0,-133276.0,-5.52,8.04,-2.52,-3.97,-1.55,8.54,-0.81,0.0,0.0
2020-02-14,0.0,435603.0,-435602.0,0.0,0.0,0.0,6.01,-6.01,0.0,0.0,8.5,-0.47,0.0,0.0
2020-02-17,-433258.0,-383151.0,816410.0,-433258.0,0.0,-1.1,-0.97,2.08,-1.1,0.0,9.2,8.24,0.0,0.0
2020-02-18,-1369687.0,2410993.0,-1041306.0,-1336571.0,-33116.0,-6.21,10.92,-4.72,-6.06,-0.15,9.02,-1.96,0.0,0.0
2020-02-19,-270811.0,330525.0,-59714.0,-270811.0,0.0,-1.6,1.95,-0.35,-1.6,0.0,8.97,-0.55,0.0,0.0
2020-02-20,383043.0,-254143.0,-128899.0,383043.0,0.0,2.13,-1.41,-0.72,2.13,0.0,9.12,1.67,0.0,0.0
2020-02-21,101738.0,452911.0,-554648.0,101738.0,0.0,0.73,3.23,-3.96,0.73,0.0,9.14,0.22,0.0,0.0
2020-02-24,84146.0,-36784.0,-47362.0,84146.0,0.0,0.68,-0.3,-0.38,0.68,0.0,9.09,-0.55,0.0,0.0
2020-02-25,255652.0,75957.0,-331609.0,255652.0,0.0,1.38,0.41,-1.78,1.38,0.0,8.98,-1.21,0.0,0.0
2020-02-26,-1394818.0,936556.0,458263.0,-1394818.0,0.0,-8.47,5.69,2.78,-8.47,0.0,8.9,-0.89,0.0,0.0
2020-02-27,41931.0,784474.0,-826405.0,41931.0,0.0,0.39,7.28,-7.67,0.39,0.0,8.84,-0.67,0.0,0.0
2020-02-28,-569327.0,1225848.0,-656520.0,-569327.0,0.0,-3.82,8.22,-4.4,-3.82,0.0,8.23,-6.9,0.0,0.0
2020-03-02,113256.0,599337.0,-712593.0,113256.0,0.0,1.18,6.27,-7.45,1.18,0.0,8.61,4.62,0.0,0.0
2020-03-03,-1101051.0,445023.0,656028.0,-1101051.0,0.0,-8.27,3.34,4.93,-8.27,0.0,8.75,1.63,0.0,0.0
2020-03-04,-426955.0,237776.0,189180.0,-426955.0,0.0,-4.55,2.54,2.02,-4.55,0.0,8.87,1.37,0.0,0.0
2020-03-05,-384107.0,52901.0,331207.0,-384107.0,0.0,-2.36,0.32,2.03,-2.36,0.0,8.99,1.35,0.0,0.0
2020-03-06,0.0,104735.0,-104735.0,0.0,0.0,0.0,0.74,-0.74,0.0,0.0,9.05,0.67,0.0,0.0
2020-03-09,481058.0,504179.0,-985238.0,481058.0,0.0,2.59,2.71,-5.31,2.59,0.0,8.8,-2.76,0.0,0.0
2020-03-10,-90074.0,1239762.0,-1149688.0,-90074.0,0.0,-0.59,8.15,-7.56,-0.59,0.0,8.82,0.23,0.0,0.0
2020-03-11,-410628.0,1039602.0,-628974.0,-410628.0,0.0,-2.56,6.48,-3.92,-2.56,0.0,8.87,0.57,0.0,0.0
2020-03-12,191275.0,881928.0,-1073203.0,191275.0,0.0,1.27,5.85,-7.11,1.27,0.0,8.6,-3.04,0.0,0.0
2020-03-13,-565482.0,1292587.0,-727104.0,-565482.0,0.0,-4.55,10.41,-5.86,-4.55,0.0,8.35,-2.91,0.0,0.0
2020-03-16,-1527242.0,1885184.0,-357940.0,-1394483.0,-132759.0,-8.89,10.97,-2.08,-8.11,-0.77,8.02,-3.95,0.0,0.0
2020-03-17,-426270.0,823461.0,-397190.0,-426270.0,0.0,-3.28,6.33,-3.05,-3.28,0.0,7.9,-1.5,0.0,0.0
2020-03-18,131730.0,391489.0,-523218.0,131730.0,0.0,1.16,3.46,-4.62,1.16,0.0,7.83,-0.89,0.0,0.0
2020-03-19,-692024.0,225713.0,466311.0,-692024.0,0.0,-6.72,2.19,4.53,-6.72,0.0,7.78,-0.64,0.0,0.0
