date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3486333.0,5637549.0,-2151215.0,-3486333.0,0.0,-9.22,14.9,-5.69,-9.22,0.0,15.34,-1.67,0.0,0.0
2020-01-09,-3001376.0,7305693.0,-4304318.0,-3001376.0,0.0,-7.58,18.44,-10.86,-7.58,0.0,15.4,0.39,0.0,0.0
2020-01-10,-1511302.0,-2364535.0,3875837.0,-783302.0,-728000.0,-2.53,-3.96,6.49,-1.31,-1.22,15.21,-1.23,0.0,0.0
2020-01-13,-3409011.0,-3276537.0,6685548.0,-3637776.0,228765.0,-5.88,-5.65,11.53,-6.27,0.39,15.23,0.13,0.0,0.0
2020-01-14,-9164524.0,4586398.0,4578125.0,-9198955.0,34431.0,-15.18,7.6,7.59,-15.24,0.06,14.95,-1.84,0.0,0.0
2020-01-15,-1602424.0,2129742.0,-527319.0,-1493042.0,-109382.0,-4.94,6.57,-1.63,-4.61,-0.34,15.07,0.8,0.0,0.0
2020-01-16,572976.0,-1885668.0,1312693.0,572976.0,0.0,2.43,-8.01,5.58,2.43,0.0,15.0,-0.46,0.0,0.0
2020-01-17,-1174319.0,-1217459.0,2391777.0,-1797338.0,623019.0,-3.24,-3.36,6.59,-4.95,1.72,14.91,-0.6,0.0,0.0
2020-01-20,1895984.0,-1874179.0,-21806.0,1650489.0,245495.0,6.67,-6.59,-0.08,5.8,0.86,15.0,0.6,0.0,0.0
2020-01-21,-212341.0,-201573.0,413915.0,-2013190.0,1800849.0,-0.65,-0.62,1.28,-6.2,5.55,14.96,-0.27,0.0,0.0
2020-01-22,566696.0,-4694073.0,4127376.0,518030.0,48666.0,1.24,-10.27,9.03,1.13,0.11,14.93,-0.2,0.0,0.0
2020-01-23,-2041823.0,2470282.0,-428459.0,-917389.0,-1124434.0,-4.25,5.14,-0.89,-1.91,-2.34,14.6,-2.21,0.0,0.0
2020-02-03,-9321834.0,5151288.0,4170546.0,-5064750.0,-4257084.0,-18.95,10.47,8.48,-10.29,-8.65,13.14,-10.0,0.0,0.0
2020-02-04,2609871.0,-3689843.0,1079972.0,1438807.0,1171064.0,5.81,-8.22,2.41,3.2,2.61,13.57,3.27,0.0,0.0
2020-02-05,-392271.0,-2599699.0,2991970.0,-2844454.0,2452183.0,-0.63,-4.2,4.83,-4.6,3.96,13.98,3.02,0.0,0.0
2020-02-06,5257193.0,-5371788.0,114594.0,5257193.0,0.0,6.68,-6.83,0.15,6.68,0.0,14.7,5.15,0.0,0.0
2020-02-07,-1786172.0,2871665.0,-1085493.0,-1503756.0,-282416.0,-3.66,5.88,-2.22,-3.08,-0.58,14.98,1.9,0.0,0.0
2020-02-10,2203462.0,-4702065.0,2498602.0,2203462.0,0.0,2.67,-5.7,3.03,2.67,0.0,15.38,2.67,0.0,0.0
2020-02-11,-6501926.0,11926409.0,-5424482.0,-5166550.0,-1335376.0,-8.04,14.75,-6.71,-6.39,-1.65,14.81,-3.71,0.0,0.0
2020-02-12,7513720.0,-6884961.0,-628760.0,9525670.0,-2011950.0,6.94,-6.36,-0.58,8.8,-1.86,15.37,3.78,0.0,0.0
2020-02-13,-6284016.0,9472314.0,-3188297.0,-5254981.0,-1029035.0,-3.51,5.29,-1.78,-2.93,-0.57,15.12,-1.63,0.0,0.0
2020-02-14,260886.0,-3908998.0,3648110.0,260886.0,0.0,0.21,-3.07,2.87,0.21,0.0,15.56,2.91,0.0,0.0
2020-02-17,20225753.0,-21824921.0,1599168.0,15754969.0,4470784.0,5.99,-6.47,0.47,4.67,1.32,17.09,9.83,0.0,0.0
2020-02-18,-17528220.0,4137399.0,13390820.0,-5453018.0,-12075202.0,-5.9,1.39,4.51,-1.83,-4.06,16.25,-4.92,0.0,0.0
2020-02-19,-17275489.0,13306715.0,3968775.0,-15718966.0,-1556523.0,-12.2,9.4,2.8,-11.1,-1.1,15.6,-4.0,0.0,0.0
2020-02-20,5034416.0,-13858500.0,8824084.0,6038150.0,-1003734.0,4.69,-12.92,8.23,5.63,-0.94,15.71,0.71,0.0,0.0
2020-02-21,-17347660.0,16156400.0,1191261.0,-17145498.0,-202162.0,-16.4,15.27,1.13,-16.21,-0.19,15.54,-1.08,0.0,0.0
2020-02-24,2565001.0,-4713349.0,2148349.0,2068276.0,496725.0,2.45,-4.51,2.05,1.98,0.47,15.92,2.45,0.0,0.0
2020-02-25,-12915203.0,10753104.0,2162099.0,-11430270.0,-1484933.0,-12.0,9.99,2.01,-10.62,-1.38,15.52,-2.51,0.0,0.0
2020-02-26,-2275110.0,4061727.0,-1786618.0,-661375.0,-1613735.0,-2.03,3.63,-1.6,-0.59,-1.44,15.34,-1.16,0.0,0.0
2020-02-27,-1363875.0,-874659.0,2238534.0,89701.0,-1453576.0,-2.0,-1.28,3.28,0.13,-2.13,15.43,0.59,0.0,0.0
2020-02-28,-11347182.0,12603632.0,-1256449.0,-8817844.0,-2529338.0,-13.15,14.61,-1.46,-10.22,-2.93,14.61,-5.31,0.0,0.0
2020-03-02,-1305366.0,235226.0,1070140.0,1844332.0,-3149698.0,-1.64,0.29,1.34,2.31,-3.95,15.17,3.83,0.0,0.0
2020-03-03,4475042.0,-3972992.0,-502051.0,3756533.0,718509.0,4.01,-3.56,-0.45,3.37,0.64,15.57,2.64,0.0,0.0
2020-03-04,-2108618.0,2401655.0,-293037.0,-2214018.0,105400.0,-2.71,3.08,-0.38,-2.84,0.14,15.67,0.64,0.0,0.0
2020-03-05,-7492371.0,2064443.0,5427928.0,-7800420.0,308049.0,-6.04,1.66,4.38,-6.29,0.25,15.75,0.51,0.0,0.0
2020-03-06,-4567571.0,2976504.0,1591068.0,-2868671.0,-1698900.0,-2.99,1.95,1.04,-1.88,-1.11,15.9,0.95,0.0,0.0
2020-03-09,-10083883.0,13672627.0,-3588744.0,-8213875.0,-1870008.0,-9.55,12.95,-3.4,-7.78,-1.77,15.1,-5.03,0.0,0.0
