date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,914106.0,-849455.0,-64651.0,-150233.0,1064339.0,3.27,-3.04,-0.23,-0.54,3.81,8.52,0.24,0.0,0.0
2020-01-09,-73374.0,-859085.0,932459.0,-69128.0,-4246.0,-0.34,-3.93,4.26,-0.32,-0.02,8.63,1.29,0.0,0.0
2020-01-10,1722574.0,-1338596.0,-383979.0,1697576.0,24998.0,7.72,-6.0,-1.72,7.61,0.11,8.65,0.23,0.0,0.0
2020-01-13,1272992.0,-279713.0,-993279.0,1272992.0,0.0,9.25,-2.03,-7.22,9.25,0.0,8.63,-0.23,0.0,0.0
2020-01-14,2655843.0,-2553096.0,-102747.0,1252599.0,1403244.0,10.51,-10.11,-0.41,4.96,5.55,8.97,3.94,0.0,0.0
2020-01-15,308668.0,-500588.0,191921.0,308668.0,0.0,1.78,-2.89,1.11,1.78,0.0,8.93,-0.45,0.0,0.0
2020-01-16,1126870.0,-2213307.0,1086437.0,1694194.0,-567324.0,4.01,-7.88,3.87,6.03,-2.02,9.29,4.03,0.0,0.0
2020-01-17,-11290765.0,7625917.0,3664849.0,-10664356.0,-626409.0,-17.35,11.72,5.63,-16.39,-0.96,8.43,-9.26,0.0,0.0
2020-01-20,-3279106.0,2147277.0,1131827.0,-7312769.0,4033663.0,-9.39,6.15,3.24,-20.95,11.56,8.21,-2.61,0.0,0.0
2020-01-21,-1278510.0,882021.0,396488.0,-3453347.0,2174837.0,-5.28,3.64,1.64,-14.27,8.99,8.17,-0.49,0.0,0.0
2020-01-22,-2185177.0,1030259.0,1154917.0,-2185177.0,0.0,-13.14,6.2,6.95,-13.14,0.0,8.16,-0.12,0.0,0.0
2020-01-23,-2544132.0,889868.0,1654264.0,-2544132.0,0.0,-11.91,4.17,7.74,-11.91,0.0,7.9,-3.19,0.0,0.0
2020-02-03,-160057.0,40123.0,119935.0,-160057.0,0.0,-1.41,0.35,1.06,-1.41,0.0,7.11,-10.0,0.0,0.0
2020-02-04,-307571.0,440761.0,-133189.0,-307571.0,0.0,-2.69,3.86,-1.17,-2.69,0.0,6.91,-2.81,0.0,0.0
2020-02-05,502328.0,-164767.0,-337562.0,502328.0,0.0,4.87,-1.6,-3.27,4.87,0.0,7.15,3.47,0.0,0.0
2020-02-06,-354756.0,12267.0,342491.0,-354756.0,0.0,-4.1,0.14,3.96,-4.1,0.0,7.17,0.28,0.0,0.0
2020-02-07,10461.0,-194561.0,184100.0,10461.0,0.0,0.13,-2.45,2.32,0.13,0.0,7.19,0.28,0.0,0.0
2020-02-10,916002.0,-1359516.0,443513.0,916002.0,0.0,9.13,-13.56,4.42,9.13,0.0,7.5,4.31,0.0,0.0
2020-02-11,-99533.0,-172063.0,271596.0,-99533.0,0.0,-1.66,-2.87,4.53,-1.66,0.0,7.39,-1.47,0.0,0.0
2020-02-12,321813.0,-698844.0,377031.0,321813.0,0.0,2.54,-5.51,2.97,2.54,0.0,7.65,3.52,0.0,0.0
2020-02-13,-124448.0,1315031.0,-1190583.0,-124448.0,0.0,-1.48,15.66,-14.18,-1.48,0.0,7.52,-1.7,0.0,0.0
2020-02-14,-114723.0,747515.0,-632791.0,-114723.0,0.0,-1.43,9.32,-7.89,-1.43,0.0,7.45,-0.93,0.0,0.0
2020-02-17,494939.0,-218141.0,-276798.0,494939.0,0.0,7.34,-3.23,-4.1,7.34,0.0,7.64,2.55,0.0,0.0
2020-02-18,-485588.0,641184.0,-155596.0,-485588.0,0.0,-5.47,7.22,-1.75,-5.47,0.0,7.69,0.65,0.0,0.0
2020-02-19,-1056535.0,1479328.0,-422793.0,-1056535.0,0.0,-9.7,13.58,-3.88,-9.7,0.0,7.56,-1.69,0.0,0.0
2020-02-20,-142671.0,272160.0,-129490.0,-142671.0,0.0,-1.19,2.28,-1.08,-1.19,0.0,7.66,1.32,0.0,0.0
2020-02-21,-883074.0,759970.0,123104.0,-883074.0,0.0,-6.51,5.6,0.91,-6.51,0.0,7.71,0.65,0.0,0.0
2020-02-24,-1169148.0,1146596.0,22553.0,-1169148.0,0.0,-10.13,9.93,0.2,-10.13,0.0,7.68,-0.39,0.0,0.0
2020-02-25,-204613.0,647937.0,-443324.0,-1937445.0,1732832.0,-1.17,3.7,-2.53,-11.07,9.9,7.67,-0.13,0.0,0.0
2020-02-26,-835358.0,570948.0,264412.0,-835358.0,0.0,-7.13,4.87,2.26,-7.13,0.0,7.55,-1.56,0.0,0.0
2020-02-27,-264430.0,496200.0,-231769.0,-264430.0,0.0,-3.54,6.65,-3.1,-3.54,0.0,7.52,-0.4,0.0,0.0
2020-02-28,276798.0,450710.0,-727508.0,276798.0,0.0,2.53,4.12,-6.65,2.53,0.0,7.22,-3.99,0.0,0.0
2020-03-02,436669.0,-479726.0,43056.0,436669.0,0.0,6.4,-7.04,0.63,6.4,0.0,7.41,2.63,0.0,0.0
2020-03-03,564959.0,168201.0,-733159.0,564959.0,0.0,7.63,2.27,-9.9,7.63,0.0,7.5,1.21,0.0,0.0
2020-03-04,713629.0,-1277909.0,564280.0,713629.0,0.0,6.8,-12.17,5.38,6.8,0.0,7.62,1.6,0.0,0.0
2020-03-05,-2282048.0,1807048.0,475000.0,-2081098.0,-200950.0,-7.28,5.76,1.51,-6.63,-0.64,8.05,5.64,0.0,0.0
2020-03-06,-180906.0,2215805.0,-2034899.0,-180906.0,0.0,-1.19,14.59,-13.4,-1.19,0.0,7.85,-2.48,0.0,0.0
2020-03-09,-1381545.0,1786478.0,-404934.0,-1400097.0,18552.0,-10.3,13.32,-3.02,-10.44,0.14,7.47,-4.84,0.0,0.0
2020-03-10,107946.0,-228166.0,120220.0,107946.0,0.0,1.0,-2.11,1.11,1.0,0.0,7.67,2.68,0.0,0.0
2020-03-11,2661398.0,-2290268.0,-371130.0,1784502.0,876896.0,13.25,-11.4,-1.85,8.89,4.37,7.9,3.0,0.0,0.0
2020-03-12,-765898.0,2040000.0,-1274101.0,-765898.0,0.0,-6.48,17.27,-10.79,-6.48,0.0,7.64,-3.29,0.0,0.0
2020-03-13,106590.0,718711.0,-825301.0,106590.0,0.0,1.17,7.88,-9.05,1.17,0.0,7.52,-1.57,0.0,0.0
2020-03-16,421680.0,-702488.0,280808.0,421680.0,0.0,3.0,-4.99,1.99,3.0,0.0,7.51,-0.13,0.0,0.0
2020-03-17,-20148.0,144729.0,-124580.0,-20148.0,0.0,-0.16,1.16,-1.0,-0.16,0.0,7.61,1.33,0.0,0.0
2020-03-18,1062617.0,-578880.0,-483737.0,-107031.0,1169648.0,5.53,-3.01,-2.52,-0.56,6.09,7.87,3.42,0.0,0.0
2020-03-19,-91395.0,467647.0,-376251.0,53316.0,-144711.0,-0.22,1.13,-0.91,0.13,-0.35,8.23,4.57,0.0,0.0
2020-03-20,338699.0,1466970.0,-1805669.0,338699.0,0.0,0.87,3.75,-4.62,0.87,0.0,8.28,0.61,0.0,0.0
2020-03-23,97157.0,-348207.0,251049.0,97157.0,0.0,0.26,-0.93,0.67,0.26,0.0,8.39,1.33,0.0,0.0
2020-03-24,-1103027.0,1052573.0,50454.0,-1103027.0,0.0,-3.84,3.67,0.18,-3.84,0.0,8.26,-1.55,0.0,0.0
2020-03-25,-27079.0,-1269805.0,1296883.0,1288572.0,-1315651.0,-0.13,-5.87,6.0,5.96,-6.09,8.23,-0.36,0.0,0.0
2020-03-26,261089.0,728584.0,-989673.0,261089.0,0.0,1.57,4.38,-5.94,1.57,0.0,8.17,-0.73,0.0,0.0
2020-03-27,-389325.0,370129.0,19195.0,-389325.0,0.0,-3.09,2.93,0.15,-3.09,0.0,8.2,0.37,0.0,0.0
