date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-19337616.0,19861440.0,-523824.0,-17121893.0,-2215723.0,-18.52,19.02,-0.5,-16.4,-2.12,25.57,-3.47,0.0,0.0
2020-01-09,3565228.0,-3832545.0,267316.0,5309694.0,-1744466.0,5.83,-6.27,0.44,8.69,-2.85,25.99,1.64,0.0,0.0
2020-01-10,-4994352.0,3824906.0,1169447.0,-3617901.0,-1376451.0,-7.61,5.83,1.78,-5.51,-2.1,26.05,0.23,0.0,0.0
2020-01-13,-2531363.0,1736570.0,794792.0,-2360035.0,-171328.0,-2.61,1.79,0.82,-2.43,-0.18,26.39,1.31,0.0,0.0
2020-01-14,174572.0,359342.0,-533914.0,1731749.0,-1557177.0,0.14,0.29,-0.43,1.4,-1.26,26.75,1.36,0.0,0.0
2020-01-15,-4314682.0,6065863.0,-1751182.0,-4228710.0,-85972.0,-4.53,6.37,-1.84,-4.44,-0.09,26.8,0.19,0.0,0.0
2020-01-16,-7491788.0,5198904.0,2292882.0,-7050564.0,-441224.0,-8.96,6.22,2.74,-8.43,-0.53,26.34,-1.72,0.0,0.0
2020-01-17,-2277211.0,5117078.0,-2839866.0,-2371243.0,94032.0,-4.0,9.0,-4.99,-4.17,0.17,26.25,-0.34,0.0,0.0
2020-01-20,-4162546.0,3986905.0,175641.0,-4716806.0,554260.0,-8.66,8.3,0.37,-9.81,1.15,26.0,-0.95,0.0,0.0
2020-01-21,-15098766.0,13640749.0,1458017.0,-11489491.0,-3609275.0,-18.11,16.36,1.75,-13.78,-4.33,24.88,-4.31,0.0,0.0
2020-01-22,-1488712.0,5907110.0,-4418399.0,-2007829.0,519117.0,-3.24,12.86,-9.62,-4.37,1.13,24.65,-0.92,0.0,0.0
2020-01-23,-5370755.0,9623816.0,-4253060.0,-5370755.0,0.0,-9.69,17.37,-7.68,-9.69,0.0,23.19,-5.92,0.0,0.0
2020-02-03,-619839.0,987151.0,-367312.0,-619839.0,0.0,-9.68,15.41,-5.73,-9.68,0.0,20.87,-10.0,0.0,0.0
2020-02-04,792905.0,3429473.0,-4222378.0,792905.0,0.0,1.5,6.47,-7.97,1.5,0.0,19.75,-5.37,0.0,0.0
2020-02-05,-1678650.0,2805328.0,-1126679.0,-1622286.0,-56364.0,-3.48,5.81,-2.33,-3.36,-0.12,20.23,2.43,0.0,0.0
2020-02-06,-671991.0,3510087.0,-2838096.0,-671991.0,0.0,-1.37,7.13,-5.77,-1.37,0.0,20.37,0.69,0.0,0.0
2020-02-07,-1239374.0,1019359.0,220015.0,-203027.0,-1036347.0,-2.5,2.06,0.44,-0.41,-2.09,20.7,1.62,0.0,0.0
2020-02-10,-874360.0,314930.0,559431.0,-874360.0,0.0,-1.89,0.68,1.21,-1.89,0.0,21.13,2.08,0.0,0.0
2020-02-11,809281.0,982180.0,-1791462.0,421103.0,388178.0,1.66,2.01,-3.67,0.86,0.8,21.3,0.8,0.0,0.0
2020-02-12,1377827.0,1584092.0,-2961920.0,1377827.0,0.0,3.22,3.7,-6.92,3.22,0.0,21.56,1.22,0.0,0.0
2020-02-13,1932374.0,880681.0,-2813055.0,1602034.0,330340.0,4.12,1.88,-6.0,3.41,0.7,21.57,0.05,0.0,0.0
2020-02-14,-3058971.0,1408180.0,1650792.0,613246.0,-3672217.0,-7.85,3.61,4.23,1.57,-9.42,21.4,-0.79,0.0,0.0
2020-02-17,779867.0,-1400972.0,621105.0,-1120697.0,1900564.0,1.18,-2.12,0.94,-1.7,2.88,22.08,3.18,0.0,0.0
2020-02-18,-1490363.0,978430.0,511932.0,-1443613.0,-46750.0,-2.29,1.51,0.79,-2.22,-0.07,22.51,1.95,0.0,0.0
2020-02-19,-700579.0,1141961.0,-441382.0,-970629.0,270050.0,-0.97,1.58,-0.61,-1.34,0.37,22.3,-0.93,0.0,0.0
2020-02-20,-661148.0,2285241.0,-1624094.0,-416178.0,-244970.0,-1.15,3.98,-2.83,-0.72,-0.43,22.65,1.57,0.0,0.0
