date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,100825.0,3161857.0,-3262682.0,100825.0,0.0,0.41,12.84,-13.25,0.41,0.0,30.57,-2.33,0.0,0.0
2020-01-09,-1525851.0,1324275.0,201575.0,-1525851.0,0.0,-9.91,8.6,1.31,-9.91,0.0,30.72,0.49,0.0,0.0
2020-01-10,-925574.0,1151495.0,-225921.0,-943886.0,18312.0,-9.31,11.58,-2.27,-9.49,0.18,30.84,0.39,0.0,0.0
2020-01-13,-404724.0,701043.0,-296319.0,-404724.0,0.0,-4.1,7.1,-3.0,-4.1,0.0,30.92,0.26,0.0,0.0
2020-01-14,-1145578.0,1595061.0,-449483.0,-1145578.0,0.0,-10.69,14.88,-4.19,-10.69,0.0,30.7,-0.71,0.0,0.0
2020-01-15,-153775.0,420111.0,-266337.0,-307275.0,153500.0,-1.77,4.84,-3.07,-3.54,1.77,30.65,-0.16,0.0,0.0
2020-01-16,185244.0,-198921.0,13676.0,350970.0,-165726.0,1.85,-1.99,0.14,3.51,-1.66,30.65,0.0,0.0,0.0
2020-01-17,-1130642.0,2700816.0,-1570174.0,-1130642.0,0.0,-7.91,18.89,-10.98,-7.91,0.0,30.12,-1.73,0.0,0.0
2020-01-20,-603251.0,905305.0,-302053.0,-603251.0,0.0,-5.06,7.59,-2.53,-5.06,0.0,30.15,0.1,0.0,0.0
2020-01-21,309822.0,462506.0,-772327.0,309822.0,0.0,3.75,5.6,-9.36,3.75,0.0,29.78,-1.23,0.0,0.0
2020-01-22,-839208.0,554920.0,284287.0,-839208.0,0.0,-6.32,4.18,2.14,-6.32,0.0,29.58,-0.67,0.0,0.0
2020-01-23,154874.0,892357.0,-1047230.0,-307614.0,462488.0,1.21,6.95,-8.15,-2.4,3.6,28.9,-2.3,0.0,0.0
2020-02-03,-3872889.0,2484017.0,1388872.0,-1586610.0,-2286279.0,-38.88,24.94,13.94,-15.93,-22.95,26.01,-10.0,0.0,0.0
2020-02-04,184107.0,367820.0,-551927.0,184107.0,0.0,0.82,1.63,-2.45,0.82,0.0,25.2,-3.11,0.0,0.0
2020-02-05,-354993.0,370939.0,-15947.0,-354993.0,0.0,-2.64,2.76,-0.12,-2.64,0.0,25.4,0.79,0.0,0.0
2020-02-06,988765.0,-1516118.0,527353.0,988765.0,0.0,7.51,-11.52,4.01,7.51,0.0,26.21,3.19,0.0,0.0
2020-02-07,309785.0,-131240.0,-178546.0,309785.0,0.0,3.94,-1.67,-2.27,3.94,0.0,26.23,0.08,0.0,0.0
2020-02-10,1369840.0,-2178035.0,808195.0,1369840.0,0.0,6.31,-10.04,3.72,6.31,0.0,27.92,6.44,0.0,0.0
2020-02-11,-686505.0,2386481.0,-1699974.0,-574289.0,-112216.0,-5.57,19.36,-13.79,-4.66,-0.91,27.35,-2.04,0.0,0.0
2020-02-12,399056.0,-251910.0,-147145.0,399056.0,0.0,3.74,-2.36,-1.38,3.74,0.0,27.8,1.65,0.0,0.0
