date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2220864.0,6172038.0,-3951174.0,-2220864.0,0.0,-4.12,11.44,-7.32,-4.12,0.0,17.22,-1.09,0.0,0.0
2020-01-09,923652.0,1669277.0,-2592929.0,923652.0,0.0,1.46,2.63,-4.09,1.46,0.0,17.44,1.28,0.0,0.0
2020-01-10,5303332.0,-4695982.0,-607350.0,5303332.0,0.0,6.83,-6.04,-0.78,6.83,0.0,17.96,2.98,0.0,0.0
2020-01-13,7966136.0,-11172712.0,3206577.0,10486126.0,-2519990.0,6.25,-8.76,2.52,8.23,-1.98,18.74,4.34,0.0,0.0
2020-01-14,4188839.0,-2371156.0,-1817683.0,-496618.0,4685457.0,3.02,-1.71,-1.31,-0.36,3.38,19.2,2.45,0.0,0.0
2020-01-15,-11158741.0,9657151.0,1501591.0,-12718771.0,1560030.0,-11.37,9.84,1.53,-12.96,1.59,19.21,0.05,0.0,0.0
2020-01-16,-541976.0,5582445.0,-5040469.0,252698.0,-794674.0,-0.62,6.35,-5.73,0.29,-0.9,19.43,1.15,0.0,0.0
2020-01-17,4057887.0,-4700754.0,642867.0,4026933.0,30954.0,3.61,-4.19,0.57,3.59,0.03,20.4,4.99,0.0,0.0
2020-01-20,-18924913.0,12421208.0,6503706.0,-20677551.0,1752638.0,-8.95,5.87,3.08,-9.78,0.83,19.91,-2.4,0.0,0.0
2020-01-21,-18418726.0,16898940.0,1519786.0,-15177092.0,-3241634.0,-14.9,13.67,1.23,-12.28,-2.62,19.58,-1.66,0.0,0.0
2020-01-22,-3752795.0,3438481.0,314313.0,-3752795.0,0.0,-3.68,3.37,0.31,-3.68,0.0,19.84,1.33,0.0,0.0
2020-01-23,-14735876.0,16489554.0,-1753676.0,-12370282.0,-2365594.0,-12.94,14.48,-1.54,-10.87,-2.08,18.8,-5.24,0.0,0.0
2020-02-03,-3077781.0,2116716.0,961065.0,-2033661.0,-1044120.0,-39.13,26.91,12.22,-25.85,-13.27,16.91,-10.05,0.0,0.0
2020-02-04,-5133847.0,-914930.0,6048777.0,-5005239.0,-128608.0,-3.88,-0.69,4.58,-3.79,-0.1,17.11,1.18,0.0,0.0
2020-02-05,-7887348.0,11555864.0,-3668517.0,-8203944.0,316596.0,-7.99,11.71,-3.72,-8.31,0.32,17.31,1.17,0.0,0.0
2020-02-06,19369382.0,-12768633.0,-6600749.0,6497285.0,12872097.0,17.11,-11.28,-5.83,5.74,11.37,19.04,9.99,0.0,0.0
2020-02-07,31645565.0,-18328437.0,-13317128.0,3165018.0,28480547.0,10.26,-5.94,-4.32,1.03,9.23,20.95,10.03,0.0,0.0
2020-02-10,8412674.0,9283689.0,-17696363.0,3480549.0,4932125.0,1.75,1.93,-3.67,0.72,1.02,21.49,2.58,0.0,0.0
2020-02-11,-8727763.0,5236253.0,3491510.0,4393163.0,-13120926.0,-2.35,1.41,0.94,1.18,-3.54,22.81,6.14,0.0,0.0
2020-02-12,-8932975.0,-1604485.0,10537459.0,-5446211.0,-3486764.0,-2.18,-0.39,2.57,-1.33,-0.85,23.82,4.43,0.0,0.0
2020-02-13,-37054324.0,26499809.0,10554516.0,-33749954.0,-3304370.0,-11.51,8.23,3.28,-10.49,-1.03,22.15,-7.01,0.0,0.0
2020-02-14,-22584838.0,28597138.0,-6012300.0,-19538418.0,-3046420.0,-10.26,12.99,-2.73,-8.88,-1.38,21.82,-1.49,0.0,0.0
2020-02-17,-1631232.0,-2097317.0,3728550.0,1214355.0,-2845587.0,-0.82,-1.05,1.87,0.61,-1.43,22.39,2.61,0.0,0.0
2020-02-18,-3815789.0,2331480.0,1484308.0,-4846575.0,1030786.0,-1.9,1.16,0.74,-2.41,0.51,22.96,2.55,0.0,0.0
2020-02-19,-19646514.0,21829918.0,-2183404.0,-17395352.0,-2251162.0,-10.49,11.65,-1.17,-9.29,-1.2,22.17,-3.44,0.0,0.0
2020-02-20,-42109779.0,18726426.0,23383352.0,-5296112.0,-36813667.0,-16.23,7.22,9.01,-2.04,-14.19,22.47,1.35,0.0,0.0
2020-02-21,18549524.0,8174041.0,-26723565.0,3336370.0,15213154.0,6.51,2.87,-9.38,1.17,5.34,23.23,3.38,0.0,0.0
2020-02-24,-23042101.0,16736423.0,6305679.0,-20380073.0,-2662028.0,-8.36,6.07,2.29,-7.4,-0.97,23.75,2.24,0.0,0.0
2020-02-25,624162.0,-3133191.0,2509031.0,1245583.0,-621421.0,0.17,-0.88,0.7,0.35,-0.17,24.61,3.62,0.0,0.0
2020-02-26,-29282790.0,13702962.0,15579826.0,-23188702.0,-6094088.0,-10.01,4.68,5.32,-7.92,-2.08,22.55,-8.37,0.0,0.0
2020-02-27,-2228775.0,8364087.0,-6135311.0,-1034930.0,-1193845.0,-1.11,4.18,-3.06,-0.52,-0.6,23.14,2.62,0.0,0.0
2020-02-28,-31509486.0,15808558.0,15700929.0,-19871101.0,-11638385.0,-16.23,8.14,8.09,-10.23,-5.99,21.32,-7.87,0.0,0.0
2020-03-02,45290849.0,-14387625.0,-30903225.0,32844909.0,12445940.0,18.22,-5.79,-12.43,13.22,5.01,23.46,10.04,0.0,0.0
2020-03-03,-9412774.0,9286070.0,126703.0,-12911356.0,3498582.0,-2.43,2.4,0.03,-3.33,0.9,24.6,4.86,0.0,0.0
