date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,6759736.0,-3511897.0,-3247839.0,5205012.0,1554724.0,2.48,-1.29,-1.19,1.91,0.57,46.44,4.88,0.0,0.0
2020-01-09,-16260177.0,8344775.0,7915401.0,-15219066.0,-1041111.0,-8.96,4.6,4.36,-8.38,-0.57,45.89,-1.18,0.0,0.0
2020-01-10,-25592745.0,19215781.0,6376964.0,-17652514.0,-7940231.0,-15.65,11.75,3.9,-10.8,-4.86,44.01,-4.1,0.0,0.0
2020-01-13,-4068520.0,5074572.0,-1006051.0,-3531923.0,-536597.0,-4.26,5.31,-1.05,-3.69,-0.56,44.2,0.43,0.0,0.0
2020-01-14,-100669.0,4022237.0,-3921568.0,2853594.0,-2954263.0,-0.08,3.02,-2.95,2.14,-2.22,44.27,0.16,0.0,0.0
2020-01-15,-13741951.0,13595428.0,146524.0,-11876298.0,-1865653.0,-12.69,12.55,0.14,-10.97,-1.72,42.9,-3.09,0.0,0.0
2020-01-16,10576550.0,-5089456.0,-5487093.0,10515337.0,61213.0,6.69,-3.22,-3.47,6.65,0.04,44.51,3.75,0.0,0.0
2020-01-17,7560770.0,-2513575.0,-5047195.0,2569926.0,4990844.0,2.72,-0.9,-1.82,0.93,1.8,46.89,5.35,0.0,0.0
2020-01-20,-9502363.0,3008072.0,6494291.0,-6654295.0,-2848068.0,-4.22,1.34,2.89,-2.96,-1.27,46.93,0.09,0.0,0.0
2020-01-21,-12738297.0,9751196.0,2987102.0,-11805221.0,-933076.0,-8.37,6.41,1.96,-7.75,-0.61,45.25,-3.58,0.0,0.0
2020-01-22,-7238482.0,-420046.0,7658526.0,-6946344.0,-292138.0,-4.57,-0.27,4.83,-4.38,-0.18,45.34,0.2,0.0,0.0
2020-01-23,27331890.0,-12648615.0,-14683274.0,-967067.0,28298957.0,7.1,-3.29,-3.82,-0.25,7.35,47.7,5.21,0.0,0.0
2020-02-03,-37233179.0,24818908.0,12414271.0,-21220542.0,-16012637.0,-18.62,12.41,6.21,-10.61,-8.01,38.16,-20.0,0.0,0.0
