date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1316090.0,-3047336.0,1731246.0,1316090.0,0.0,2.17,-5.03,2.86,2.17,0.0,49.36,1.98,0.0,0.0
2020-01-09,-1842360.0,-2538279.0,4380639.0,-1842360.0,0.0,-3.18,-4.38,7.57,-3.18,0.0,50.58,2.47,0.0,0.0
2020-01-10,-1287826.0,-2726020.0,4013847.0,-1287826.0,0.0,-2.49,-5.27,7.76,-2.49,0.0,51.8,2.41,0.0,0.0
2020-01-13,-1730703.0,1224793.0,505909.0,-1730703.0,0.0,-4.06,2.87,1.19,-4.06,0.0,51.74,-0.12,0.0,0.0
2020-01-14,-2359395.0,1518646.0,840749.0,-2359395.0,0.0,-5.99,3.85,2.13,-5.99,0.0,51.52,-0.43,0.0,0.0
2020-01-15,-3475549.0,5032052.0,-1556503.0,-3475549.0,0.0,-10.97,15.88,-4.91,-10.97,0.0,49.99,-2.97,0.0,0.0
2020-01-16,499079.0,1746448.0,-2245527.0,-1144316.0,1643395.0,1.46,5.1,-6.55,-3.34,4.8,50.43,0.88,0.0,0.0
2020-01-17,25182751.0,-17321372.0,-7861380.0,11856401.0,13326350.0,17.77,-12.22,-5.55,8.37,9.4,54.33,7.73,0.0,0.0
2020-01-20,25212862.0,-12792468.0,-12420394.0,21079214.0,4133648.0,9.73,-4.94,-4.79,8.13,1.59,60.4,11.17,0.0,0.0
2020-01-21,-15135963.0,6876279.0,8259685.0,-10579024.0,-4556939.0,-5.98,2.72,3.26,-4.18,-1.8,58.46,-3.21,0.0,0.0
2020-01-22,73010.0,-8703522.0,8630512.0,7559.0,65451.0,0.02,-2.32,2.31,0.0,0.02,61.2,4.69,0.0,0.0
2020-01-23,37792435.0,-20634723.0,-17157712.0,11107065.0,26685370.0,9.2,-5.02,-4.18,2.7,6.5,71.25,16.42,0.0,0.0
2020-02-03,-20451184.0,6179313.0,14271871.0,-22195155.0,1743971.0,-4.39,1.33,3.07,-4.77,0.37,85.5,20.0,0.0,0.0
2020-02-04,-28700999.0,13749096.0,14951903.0,-30641626.0,1940627.0,-5.06,2.42,2.64,-5.4,0.34,85.52,0.02,0.0,0.0
2020-02-05,-33323045.0,9354275.0,23968771.0,-25164226.0,-8158819.0,-6.26,1.76,4.5,-4.73,-1.53,89.64,4.82,0.0,0.0
2020-02-06,-26268116.0,17249790.0,9018327.0,-28011272.0,1743156.0,-6.11,4.02,2.1,-6.52,0.41,84.51,-5.72,0.0,0.0
2020-02-07,-40025932.0,27717513.0,12308420.0,-29547532.0,-10478400.0,-10.98,7.6,3.38,-8.1,-2.87,79.05,-6.46,0.0,0.0
2020-02-10,-41207174.0,31167071.0,10040104.0,-27428320.0,-13778854.0,-14.54,11.0,3.54,-9.68,-4.86,71.0,-10.18,0.0,0.0
