date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5663829.0,4146748.0,1517080.0,-7292273.0,1628444.0,-6.38,4.67,1.71,-8.21,1.83,16.65,-1.77,0.0,0.0
2020-01-09,2638564.0,-885697.0,-1752867.0,2741651.0,-103087.0,3.8,-1.28,-2.53,3.95,-0.15,17.08,2.58,0.0,0.0
2020-01-10,9112948.0,-11771743.0,2658794.0,8331439.0,781509.0,6.99,-9.03,2.04,6.39,0.6,17.69,3.57,0.0,0.0
2020-01-13,-2414542.0,-893390.0,3307933.0,-1716045.0,-698497.0,-2.25,-0.83,3.08,-1.6,-0.65,18.19,2.83,0.0,0.0
2020-01-14,-4775570.0,6449264.0,-1673694.0,-4877378.0,101808.0,-4.59,6.19,-1.61,-4.68,0.1,18.08,-0.6,0.0,0.0
2020-01-15,-14090030.0,14121795.0,-31765.0,-14119169.0,29139.0,-16.83,16.86,-0.04,-16.86,0.03,17.58,-2.77,0.0,0.0
2020-01-16,-5978334.0,1183782.0,4794551.0,-6047123.0,68789.0,-8.45,1.67,6.77,-8.54,0.1,17.78,1.14,0.0,0.0
2020-01-17,10767518.0,-16050131.0,5282612.0,8144777.0,2622741.0,6.15,-9.16,3.02,4.65,1.5,18.85,6.02,0.0,0.0
2020-01-20,1878308.0,-4394662.0,2516354.0,3007118.0,-1128810.0,1.02,-2.4,1.37,1.64,-0.62,19.88,5.46,0.0,0.0
2020-01-21,-9657285.0,15721436.0,-6064150.0,-8885109.0,-772176.0,-7.38,12.01,-4.63,-6.79,-0.59,19.33,-2.77,0.0,0.0
2020-01-22,-9667958.0,8330822.0,1337136.0,-9817942.0,149984.0,-9.09,7.83,1.26,-9.23,0.14,18.85,-2.48,0.0,0.0
2020-01-23,-13013142.0,11405555.0,1607587.0,-9176628.0,-3836514.0,-12.51,10.97,1.55,-8.82,-3.69,18.12,-3.87,0.0,0.0
2020-02-03,3906815.0,3688816.0,-7595631.0,3002766.0,904049.0,2.72,2.57,-5.29,2.09,0.63,17.03,-6.02,0.0,0.0
2020-02-04,1778277.0,-2525274.0,746997.0,2928925.0,-1150648.0,1.07,-1.52,0.45,1.77,-0.69,18.32,7.57,0.0,0.0
2020-02-05,4403204.0,-7705767.0,3302563.0,4158238.0,244966.0,1.89,-3.3,1.41,1.78,0.1,20.5,11.9,0.0,0.0
2020-02-06,33274.0,-4639187.0,4605915.0,403467.0,-370193.0,0.01,-1.36,1.35,0.12,-0.11,21.8,6.34,0.0,0.0
2020-02-07,-24709173.0,20078480.0,4630693.0,-20852312.0,-3856861.0,-9.95,8.09,1.86,-8.4,-1.55,21.02,-3.58,0.0,0.0
2020-02-10,-8500092.0,7847562.0,652530.0,-3469086.0,-5031006.0,-4.84,4.47,0.37,-1.98,-2.87,21.2,0.86,0.0,0.0
2020-02-11,-13227525.0,14320214.0,-1092689.0,-12968676.0,-258849.0,-10.52,11.39,-0.87,-10.31,-0.21,19.94,-5.94,0.0,0.0
2020-02-12,7201738.0,-4443124.0,-2758614.0,6702855.0,498883.0,6.06,-3.74,-2.32,5.64,0.42,20.66,3.61,0.0,0.0
2020-02-13,-2468102.0,384761.0,2083341.0,-4182951.0,1714849.0,-1.55,0.24,1.31,-2.63,1.08,20.89,1.11,0.0,0.0
2020-02-14,-8994467.0,9281035.0,-286569.0,-8712841.0,-281626.0,-6.18,6.38,-0.2,-5.99,-0.19,20.51,-1.82,0.0,0.0
2020-02-17,-5972755.0,231113.0,5741641.0,-3005499.0,-2967256.0,-4.34,0.17,4.17,-2.18,-2.15,21.08,2.78,0.0,0.0
2020-02-18,-10979318.0,9280182.0,1699136.0,-11466967.0,487649.0,-9.43,7.97,1.46,-9.85,0.42,20.83,-1.19,0.0,0.0
2020-02-19,-7473333.0,9265326.0,-1791994.0,-7697428.0,224095.0,-6.82,8.46,-1.64,-7.03,0.2,20.0,-3.98,0.0,0.0
2020-02-20,-8859975.0,12115580.0,-3255604.0,-8273047.0,-586928.0,-9.8,13.4,-3.6,-9.15,-0.65,19.69,-1.55,0.0,0.0
2020-02-21,-4281311.0,6376693.0,-2095382.0,-3747472.0,-533839.0,-5.56,8.28,-2.72,-4.87,-0.69,19.56,-0.66,0.0,0.0
2020-02-24,-408860.0,1761321.0,-1352462.0,-355238.0,-53622.0,-0.58,2.49,-1.91,-0.5,-0.08,20.09,2.71,0.0,0.0
2020-02-25,5000637.0,-1820089.0,-3180549.0,5838012.0,-837375.0,4.21,-1.53,-2.68,4.92,-0.71,20.45,1.79,0.0,0.0
2020-02-26,-13308456.0,7658844.0,5649612.0,-12165673.0,-1142783.0,-11.87,6.83,5.04,-10.85,-1.02,19.35,-5.38,0.0,0.0
2020-02-27,-12190568.0,9415287.0,2775282.0,-11573805.0,-616763.0,-15.38,11.88,3.5,-14.6,-0.78,18.79,-2.89,0.0,0.0
2020-02-28,-7050003.0,6184331.0,865672.0,-7060923.0,10920.0,-10.71,9.39,1.31,-10.72,0.02,17.92,-4.63,0.0,0.0
2020-03-02,1297289.0,-274361.0,-1022928.0,1297289.0,0.0,2.42,-0.51,-1.91,2.42,0.0,18.69,4.3,0.0,0.0
2020-03-03,648563.0,542494.0,-1191057.0,655287.0,-6724.0,0.99,0.82,-1.81,1.0,-0.01,18.8,0.59,0.0,0.0
2020-03-04,-2515661.0,5210583.0,-2694922.0,-2515661.0,0.0,-6.48,13.43,-6.94,-6.48,0.0,18.53,-1.44,0.0,0.0
2020-03-05,-2335940.0,2817831.0,-481890.0,-2335940.0,0.0,-5.35,6.45,-1.1,-5.35,0.0,18.65,0.65,0.0,0.0
2020-03-06,69559.0,328520.0,-398080.0,69559.0,0.0,0.19,0.89,-1.07,0.19,0.0,18.68,0.16,0.0,0.0
2020-03-09,-2915712.0,6246788.0,-3331076.0,-3033362.0,117650.0,-6.92,14.83,-7.91,-7.2,0.28,17.9,-4.18,0.0,0.0
2020-03-10,148725.0,3596578.0,-3745303.0,19582.0,129143.0,0.25,6.06,-6.32,0.03,0.22,18.02,0.67,0.0,0.0
2020-03-11,-2997741.0,5772458.0,-2774718.0,-289491.0,-2708250.0,-7.1,13.67,-6.57,-0.69,-6.42,17.42,-3.33,0.0,0.0
2020-03-12,-585643.0,3267262.0,-2681618.0,53800.0,-639443.0,-1.86,10.38,-8.52,0.17,-2.03,17.03,-2.24,0.0,0.0
2020-03-13,-621749.0,388734.0,233015.0,518672.0,-1140421.0,-1.71,1.07,0.64,1.43,-3.14,16.87,-0.94,0.0,0.0
2020-03-16,-990090.0,1423714.0,-433624.0,-990090.0,0.0,-2.63,3.78,-1.15,-2.63,0.0,16.39,-2.85,0.0,0.0
2020-03-17,-360489.0,1651438.0,-1290949.0,-360489.0,0.0,-1.41,6.47,-5.05,-1.41,0.0,16.39,0.0,0.0,0.0
2020-03-18,175693.0,1189429.0,-1365122.0,175693.0,0.0,0.56,3.82,-4.38,0.56,0.0,16.32,-0.43,0.0,0.0
2020-03-19,-302447.0,1066694.0,-764246.0,-302447.0,0.0,-1.04,3.66,-2.63,-1.04,0.0,16.4,0.49,0.0,0.0
2020-03-20,-634045.0,1586686.0,-952641.0,-634045.0,0.0,-3.18,7.97,-4.78,-3.18,0.0,16.55,0.91,0.0,0.0
2020-03-23,-2029114.0,2765091.0,-735977.0,-1853465.0,-175649.0,-7.11,9.68,-2.58,-6.49,-0.62,15.79,-4.59,0.0,0.0
2020-03-24,-59474.0,-1483576.0,1543050.0,740815.0,-800289.0,-0.25,-6.31,6.57,3.15,-3.41,16.1,1.96,0.0,0.0
2020-03-25,-2188514.0,-513688.0,2702202.0,-1855618.0,-332896.0,-7.0,-1.64,8.64,-5.93,-1.06,16.42,1.99,0.0,0.0
2020-03-26,1919031.0,-2485867.0,566836.0,1919031.0,0.0,3.8,-4.92,1.12,3.8,0.0,16.97,3.35,0.0,0.0
2020-03-27,-5625968.0,4942090.0,683877.0,-5625968.0,0.0,-17.27,15.17,2.1,-17.27,0.0,16.55,-2.47,0.0,0.0
2020-03-30,-1049291.0,2979375.0,-1930084.0,-1049291.0,0.0,-5.47,15.54,-10.07,-5.47,0.0,15.91,-3.87,0.0,0.0
2020-03-31,-1577324.0,2218563.0,-641236.0,-477274.0,-1100050.0,-8.52,11.99,-3.47,-2.58,-5.95,15.7,-1.32,0.0,0.0
2020-04-01,132012.0,-91730.0,-40282.0,117828.0,14184.0,0.84,-0.59,-0.26,0.75,0.09,15.67,-0.19,0.0,0.0
2020-04-02,-246856.0,709755.0,-462899.0,-246856.0,0.0,-1.65,4.75,-3.1,-1.65,0.0,15.88,1.34,0.0,0.0
2020-04-03,2054667.0,-1800495.0,-254172.0,2054667.0,0.0,7.14,-6.26,-0.88,7.14,0.0,16.08,1.26,0.0,0.0
2020-04-07,2984285.0,-3162799.0,178513.0,1883896.0,1100389.0,7.39,-7.84,0.44,4.67,2.73,16.79,4.42,0.0,0.0
2020-04-08,-1682905.0,45458.0,1637448.0,-1495300.0,-187605.0,-4.94,0.13,4.8,-4.39,-0.55,16.68,-0.66,0.0,0.0
2020-04-09,-341046.0,-1144009.0,1485054.0,-1519487.0,1178441.0,-1.58,-5.3,6.88,-7.04,5.46,16.97,1.74,0.0,0.0
2020-04-10,4718550.0,-3604017.0,-1114533.0,3697414.0,1021136.0,13.06,-9.97,-3.08,10.23,2.83,17.04,0.41,0.0,0.0
2020-04-13,-2515373.0,3037097.0,-521724.0,-1608208.0,-907165.0,-10.52,12.7,-2.18,-6.72,-3.79,16.49,-3.23,0.0,0.0
2020-04-14,-2473996.0,1051429.0,1422567.0,-2473996.0,0.0,-14.85,6.31,8.54,-14.85,0.0,16.72,1.39,0.0,0.0
