date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1192302.0,151709.0,-1344010.0,1192302.0,0.0,1.97,0.25,-2.22,1.97,0.0,30.35,-1.01,0.0,0.0
2020-01-09,1797134.0,-1831487.0,34354.0,1797134.0,0.0,3.99,-4.07,0.08,3.99,0.0,31.11,2.5,0.0,0.0
2020-01-10,-3847561.0,2524911.0,1322651.0,-2890938.0,-956623.0,-6.63,4.35,2.28,-4.98,-1.65,31.26,0.48,0.0,0.0
2020-01-13,985763.0,-2400527.0,1414764.0,-1003063.0,1988826.0,2.44,-5.94,3.5,-2.48,4.92,31.8,1.73,0.0,0.0
2020-01-14,430476.0,-1664918.0,1234440.0,-730668.0,1161144.0,0.7,-2.73,2.02,-1.2,1.9,32.0,0.63,0.0,0.0
2020-01-15,-600947.0,1628562.0,-1027614.0,-287762.0,-313185.0,-1.29,3.51,-2.21,-0.62,-0.67,31.88,-0.38,0.0,0.0
2020-01-16,-491938.0,1234219.0,-742283.0,-1764042.0,1272104.0,-0.93,2.33,-1.4,-3.33,2.4,32.29,1.29,0.0,0.0
2020-01-17,-21312413.0,8546747.0,12765666.0,-16731384.0,-4581029.0,-12.79,5.13,7.66,-10.04,-2.75,32.85,1.73,0.0,0.0
2020-01-20,1579313.0,-57662.0,-1521651.0,1965134.0,-385821.0,1.41,-0.05,-1.35,1.75,-0.34,33.72,2.65,0.0,0.0
2020-01-21,-97774.0,2631711.0,-2533937.0,772086.0,-869860.0,-0.08,2.21,-2.13,0.65,-0.73,32.93,-2.34,0.0,0.0
2020-01-22,164159.0,1215375.0,-1379534.0,157559.0,6600.0,0.27,2.0,-2.28,0.26,0.01,33.09,0.49,0.0,0.0
2020-01-23,-1842045.0,3847360.0,-2005315.0,-3257465.0,1415420.0,-2.43,5.08,-2.65,-4.3,1.87,32.15,-2.84,0.0,0.0
2020-02-03,-1628077.0,-2091950.0,3720027.0,1812310.0,-3440387.0,-0.78,-1.01,1.79,0.87,-1.66,34.58,7.56,0.0,0.0
2020-02-04,-5922343.0,1779178.0,4143164.0,-2770374.0,-3151969.0,-2.82,0.85,1.97,-1.32,-1.5,35.27,2.0,0.0,0.0
2020-02-05,15206483.0,-8640975.0,-6565508.0,11181950.0,4024533.0,6.17,-3.5,-2.66,4.53,1.63,39.39,11.68,0.0,0.0
2020-02-06,-23437120.0,21631756.0,1805364.0,-14659744.0,-8777376.0,-9.8,9.04,0.75,-6.13,-3.67,37.7,-4.29,0.0,0.0
2020-02-07,-10214746.0,14367704.0,-4152957.0,-7004169.0,-3210577.0,-6.98,9.82,-2.84,-4.78,-2.19,36.86,-2.23,0.0,0.0
2020-02-10,-8570700.0,9265451.0,-694751.0,-8225159.0,-345541.0,-9.17,9.92,-0.74,-8.8,-0.37,36.26,-1.63,0.0,0.0
2020-02-11,3301039.0,-944102.0,-2356937.0,-456904.0,3757943.0,2.84,-0.81,-2.03,-0.39,3.24,36.94,1.88,0.0,0.0
2020-02-12,-7335779.0,5996271.0,1339508.0,-5654508.0,-1681271.0,-6.87,5.61,1.25,-5.29,-1.57,37.14,0.54,0.0,0.0
2020-02-13,-382483.0,3351902.0,-2969419.0,-891083.0,508600.0,-0.38,3.36,-2.97,-0.89,0.51,36.92,-0.59,0.0,0.0
2020-02-14,8332015.0,5819934.0,-14151947.0,4643016.0,3688999.0,6.04,4.22,-10.27,3.37,2.68,37.39,1.27,0.0,0.0
2020-02-17,-5824059.0,4818367.0,1005692.0,-7119135.0,1295076.0,-5.78,4.78,1.0,-7.07,1.29,37.5,0.29,0.0,0.0
2020-02-18,-5378861.0,10052485.0,-4673624.0,-5378861.0,0.0,-7.94,14.84,-6.9,-7.94,0.0,37.0,-1.33,0.0,0.0
2020-02-19,-8202161.0,9452096.0,-1249935.0,-6621584.0,-1580577.0,-10.58,12.19,-1.61,-8.54,-2.04,35.8,-3.24,0.0,0.0
2020-02-20,-4588281.0,7088968.0,-2500687.0,-3335370.0,-1252911.0,-7.37,11.39,-4.02,-5.36,-2.01,35.36,-1.23,0.0,0.0
2020-02-21,-2329051.0,1322646.0,1006405.0,-423308.0,-1905743.0,-6.15,3.49,2.66,-1.12,-5.03,35.19,-0.48,0.0,0.0
2020-02-24,-371415.0,559594.0,-188179.0,408639.0,-780054.0,-0.82,1.23,-0.41,0.9,-1.71,35.79,1.71,0.0,0.0
2020-02-25,6446970.0,-6980095.0,533124.0,5684827.0,762143.0,8.84,-9.57,0.73,7.79,1.04,36.59,2.24,0.0,0.0
2020-02-26,-3545084.0,6220784.0,-2675700.0,-4699151.0,1154067.0,-5.71,10.01,-4.31,-7.56,1.86,34.82,-4.84,0.0,0.0
2020-02-27,-5174056.0,4557067.0,616989.0,-3372147.0,-1801909.0,-13.61,11.99,1.62,-8.87,-4.74,33.87,-2.73,0.0,0.0
2020-02-28,3077581.0,-766214.0,-2311367.0,1069448.0,2008133.0,5.97,-1.49,-4.48,2.07,3.89,32.61,-3.72,0.0,0.0
2020-03-02,854160.0,645617.0,-1499776.0,2262277.0,-1408117.0,2.36,1.78,-4.14,6.24,-3.88,33.64,3.16,0.0,0.0
2020-03-03,-2609563.0,3538610.0,-929047.0,-2609563.0,0.0,-5.26,7.14,-1.87,-5.26,0.0,33.77,0.39,0.0,0.0
2020-03-04,-3464933.0,3187637.0,277297.0,-3171752.0,-293181.0,-10.47,9.63,0.84,-9.59,-0.89,33.3,-1.39,0.0,0.0
2020-03-05,-975987.0,123203.0,852783.0,-975987.0,0.0,-3.27,0.41,2.86,-3.27,0.0,33.49,0.57,0.0,0.0
2020-03-06,-709598.0,1469559.0,-759961.0,-182353.0,-527245.0,-2.14,4.43,-2.29,-0.55,-1.59,33.52,0.09,0.0,0.0
2020-03-09,-2433156.0,3642916.0,-1209760.0,-2416946.0,-16210.0,-7.35,11.0,-3.65,-7.3,-0.05,32.49,-3.07,0.0,0.0
2020-03-10,7645514.0,-2111257.0,-5534256.0,10298736.0,-2653222.0,12.58,-3.47,-9.1,16.94,-4.36,33.19,2.15,0.0,0.0
2020-03-11,-600338.0,3936781.0,-3336443.0,-515714.0,-84624.0,-2.2,14.41,-12.21,-1.89,-0.31,32.52,-2.02,0.0,0.0
2020-03-12,-172254.0,332674.0,-160420.0,-172254.0,0.0,-0.75,1.46,-0.7,-0.75,0.0,31.96,-1.72,0.0,0.0
2020-03-13,-7108545.0,4939440.0,2169105.0,-6074061.0,-1034484.0,-16.1,11.19,4.91,-13.76,-2.34,30.54,-4.44,0.0,0.0
2020-03-16,-2679933.0,1907438.0,772495.0,-2381823.0,-298110.0,-8.05,5.73,2.32,-7.16,-0.9,29.54,-3.27,0.0,0.0
2020-03-17,-3126798.0,1827243.0,1299555.0,-1978845.0,-1147953.0,-10.63,6.21,4.42,-6.73,-3.9,29.36,-0.61,0.0,0.0
2020-03-18,813855.0,276023.0,-1089877.0,918655.0,-104800.0,3.34,1.13,-4.48,3.77,-0.43,29.09,-0.92,0.0,0.0
2020-03-19,-1768919.0,2193041.0,-424122.0,-629852.0,-1139067.0,-6.19,7.67,-1.48,-2.2,-3.99,29.14,0.17,0.0,0.0
2020-03-20,694613.0,-293201.0,-401413.0,694613.0,0.0,3.76,-1.59,-2.17,3.76,0.0,29.55,1.41,0.0,0.0
2020-03-23,-473179.0,959188.0,-486010.0,-1476004.0,1002825.0,-2.02,4.08,-2.07,-6.29,4.27,28.55,-3.38,0.0,0.0
2020-03-24,-773353.0,2009292.0,-1235940.0,-803443.0,30090.0,-3.93,10.22,-6.28,-4.09,0.15,28.99,1.54,0.0,0.0
2020-03-25,-1863944.0,1663629.0,200314.0,-1863944.0,0.0,-8.72,7.78,0.94,-8.72,0.0,29.4,1.41,0.0,0.0
2020-03-26,1661700.0,-1716300.0,54600.0,1661700.0,0.0,6.03,-6.23,0.2,6.03,0.0,29.5,0.34,0.0,0.0
2020-03-27,275362.0,1680351.0,-1955713.0,301968.0,-26606.0,0.94,5.73,-6.67,1.03,-0.09,29.21,-0.98,0.0,0.0
2020-03-30,-1757718.0,2250245.0,-492527.0,-1766268.0,8550.0,-7.09,9.08,-1.99,-7.13,0.03,28.23,-3.36,0.0,0.0
2020-03-31,-4245307.0,1778416.0,2466891.0,-3359814.0,-885493.0,-23.19,9.72,13.48,-18.36,-4.84,27.9,-1.17,0.0,0.0
2020-04-01,-1147683.0,741120.0,406563.0,-1128118.0,-19565.0,-7.53,4.87,2.67,-7.41,-0.13,27.83,-0.25,0.0,0.0
2020-04-02,-78614.0,-333771.0,412385.0,-78614.0,0.0,-0.53,-2.24,2.77,-0.53,0.0,28.4,2.05,0.0,0.0
2020-04-03,-620885.0,512933.0,107953.0,439547.0,-1060432.0,-3.82,3.16,0.66,2.71,-6.53,28.21,-0.67,0.0,0.0
2020-04-07,-422034.0,186032.0,236002.0,-422034.0,0.0,-1.97,0.87,1.1,-1.97,0.0,28.9,2.45,0.0,0.0
2020-04-08,1337820.0,-637521.0,-700298.0,1337820.0,0.0,5.88,-2.8,-3.08,5.88,0.0,29.22,1.11,0.0,0.0
2020-04-09,-267880.0,-483529.0,751410.0,-267880.0,0.0,-1.55,-2.8,4.35,-1.55,0.0,29.68,1.57,0.0,0.0
2020-04-10,-327714.0,1236010.0,-908296.0,-327714.0,0.0,-1.61,6.07,-4.46,-1.61,0.0,29.0,-2.29,0.0,0.0
2020-04-13,-1303343.0,1260677.0,42667.0,-1303343.0,0.0,-9.61,9.3,0.31,-9.61,0.0,28.74,-0.9,0.0,0.0
2020-04-14,1298728.0,-1872194.0,573466.0,784357.0,514371.0,11.32,-16.31,5.0,6.83,4.48,29.33,2.05,0.0,0.0
2020-04-15,1101.0,-437299.0,436199.0,1101.0,0.0,0.01,-3.07,3.06,0.01,0.0,29.18,-0.51,0.0,0.0
2020-04-16,-61001.0,-1525075.0,1586076.0,-61001.0,0.0,-0.24,-5.95,6.19,-0.24,0.0,29.83,2.23,0.0,0.0
2020-04-17,-679008.0,2654085.0,-1975076.0,-679008.0,0.0,-3.51,13.74,-10.22,-3.51,0.0,29.5,-1.11,0.0,0.0
2020-04-20,872079.0,-3082947.0,2210869.0,-31921.0,904000.0,3.14,-11.1,7.96,-0.11,3.25,30.25,2.54,0.0,0.0
2020-04-21,-1347409.0,-436567.0,1783976.0,-1347409.0,0.0,-7.68,-2.49,10.16,-7.68,0.0,30.24,-0.03,0.0,0.0
2020-04-22,-1132890.0,1121336.0,11555.0,84906.0,-1217796.0,-7.59,7.52,0.08,0.57,-8.16,30.17,-0.23,0.0,0.0
2020-04-23,-888055.0,-834660.0,1722715.0,-888055.0,0.0,-3.83,-3.6,7.44,-3.83,0.0,30.29,0.4,0.0,0.0
2020-04-24,-1220152.0,1234709.0,-14557.0,-1220152.0,0.0,-4.62,4.68,-0.06,-4.62,0.0,29.85,-1.45,0.0,0.0
2020-04-27,-1483504.0,3079685.0,-1596182.0,-1483504.0,0.0,-7.2,14.96,-7.75,-7.2,0.0,29.1,-2.51,0.0,0.0
2020-04-28,-1691240.0,2518635.0,-827395.0,-1173111.0,-518129.0,-4.59,6.84,-2.25,-3.18,-1.41,28.0,-3.78,0.0,0.0
2020-04-29,4055510.0,-3282420.0,-773090.0,5193017.0,-1137507.0,10.84,-8.77,-2.07,13.88,-3.04,28.69,2.46,0.0,0.0
2020-04-30,5364357.0,-1939899.0,-3424459.0,4040051.0,1324306.0,20.72,-7.49,-13.22,15.6,5.11,29.45,2.65,0.0,0.0
2020-05-06,5177095.0,-4128238.0,-1048857.0,3995176.0,1181919.0,13.17,-10.5,-2.67,10.16,3.01,30.63,4.01,0.0,0.0
2020-05-07,588764.0,1724930.0,-2313694.0,588764.0,0.0,1.8,5.28,-7.08,1.8,0.0,30.2,-1.4,0.0,0.0
2020-05-08,-2792961.0,1713487.0,1079474.0,-2792961.0,0.0,-10.64,6.53,4.11,-10.64,0.0,30.22,0.07,0.0,0.0
2020-05-11,2105396.0,-140600.0,-1964797.0,2105396.0,0.0,9.8,-0.65,-9.14,9.8,0.0,30.56,1.13,0.0,0.0
2020-05-12,1679250.0,-882509.0,-796741.0,1679250.0,0.0,7.75,-4.07,-3.68,7.75,0.0,30.61,0.16,0.0,0.0
2020-05-13,19100525.0,-7437087.0,-11663438.0,17022091.0,2078434.0,19.27,-7.5,-11.77,17.17,2.1,32.8,7.15,0.0,0.0
2020-05-14,-5955536.0,5442537.0,513000.0,-5955536.0,0.0,-10.46,9.56,0.9,-10.46,0.0,31.81,-3.02,0.0,0.0
2020-05-15,-2200319.0,1646175.0,554145.0,-2200319.0,0.0,-6.57,4.92,1.66,-6.57,0.0,31.91,0.31,0.0,0.0
2020-05-18,-1475054.0,2478976.0,-1003923.0,-1475054.0,0.0,-5.62,9.44,-3.82,-5.62,0.0,31.4,-1.6,0.0,0.0
2020-05-19,1432290.0,-1900734.0,468443.0,-497790.0,1930080.0,4.06,-5.38,1.33,-1.41,5.47,32.15,2.39,0.0,0.0
2020-05-20,6016745.0,-1546518.0,-4470228.0,4367491.0,1649254.0,13.17,-3.38,-9.78,9.56,3.61,32.37,0.68,0.0,0.0
2020-05-21,4098041.0,-626570.0,-3471471.0,3673656.0,424385.0,10.23,-1.56,-8.66,9.17,1.06,32.37,0.0,0.0,0.0
2020-05-22,-994698.0,3534645.0,-2539947.0,-994698.0,0.0,-3.0,10.66,-7.66,-3.0,0.0,31.28,-3.37,0.0,0.0
2020-05-25,3271582.0,-1874093.0,-1397490.0,3271582.0,0.0,17.37,-9.95,-7.42,17.37,0.0,31.5,0.7,0.0,0.0
2020-05-26,4701137.0,-2958725.0,-1742412.0,3905920.0,795217.0,10.77,-6.78,-3.99,8.95,1.82,32.55,3.33,0.0,0.0
