date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-06-02,89239727.0,-181855551.0,92615825.0,50661792.0,38577935.0,8.72,-17.77,9.05,4.95,3.77,73.8,193.79,0.0,0.0
2020-06-03,-28936149.0,-4518861.0,33455002.0,-24314896.0,-4621253.0,-3.35,-0.52,3.87,-2.81,-0.53,72.1,-2.3,0.0,0.0
2020-06-04,-61992789.0,20104348.0,41888440.0,-19019900.0,-42972889.0,-9.66,3.13,6.53,-2.97,-6.7,73.43,1.84,0.0,0.0
2020-06-05,11998628.0,-8510105.0,-3488523.0,9874368.0,2124260.0,1.83,-1.3,-0.53,1.51,0.32,71.67,-2.4,0.0,0.0
2020-06-08,-114873623.0,59856473.0,55017150.0,-66003630.0,-48869993.0,-24.01,12.51,11.5,-13.8,-10.21,67.37,-6.0,0.0,0.0
2020-06-09,-47102314.0,36722327.0,10379987.0,-37677994.0,-9424320.0,-14.36,11.2,3.17,-11.49,-2.87,64.55,-4.19,0.0,0.0
2020-06-10,-59506220.0,47886307.0,11619913.0,-37303666.0,-22202554.0,-20.85,16.78,4.07,-13.07,-7.78,60.95,-5.58,0.0,0.0
2020-06-11,-1044718.0,-1973425.0,3018143.0,1602165.0,-2646883.0,-0.43,-0.82,1.26,0.67,-1.1,62.55,2.63,0.0,0.0
2020-06-12,-14649481.0,12627832.0,2021649.0,-12610434.0,-2039047.0,-8.67,7.47,1.2,-7.46,-1.21,61.13,-2.27,0.0,0.0
2020-06-15,-41311929.0,35941931.0,5369998.0,-29531783.0,-11780146.0,-17.15,14.92,2.23,-12.26,-4.89,57.86,-5.35,0.0,0.0
2020-06-16,-1119518.0,1848666.0,-729149.0,-3324796.0,2205278.0,-0.67,1.1,-0.43,-1.98,1.31,58.9,1.8,0.0,0.0
2020-06-18,-13836555.0,13295583.0,540971.0,-10683439.0,-3153116.0,-8.64,8.31,0.34,-6.67,-1.97,60.34,-1.97,0.0,0.0
2020-06-19,-25245403.0,18800751.0,6444653.0,-19551267.0,-5694136.0,-18.05,13.45,4.61,-13.98,-4.07,58.82,-2.52,0.0,0.0
2020-06-22,-13370327.0,7787610.0,5582716.0,-12436674.0,-933653.0,-10.44,6.08,4.36,-9.71,-0.73,58.86,0.07,0.0,0.0
2020-06-23,-16595628.0,15086389.0,1509239.0,-16710580.0,114952.0,-15.36,13.96,1.4,-15.46,0.11,58.05,-1.38,0.0,0.0
2020-06-29,-17757965.0,11838744.0,5919222.0,-10782246.0,-6975719.0,-18.61,12.4,6.2,-11.3,-7.31,58.83,-0.88,0.0,0.0
2020-06-30,1422534.0,3583975.0,-5006510.0,1003191.0,419343.0,1.41,3.56,-4.97,1.0,0.42,59.57,1.26,0.0,0.0
2020-07-01,-15092119.0,10022709.0,5069409.0,-14894929.0,-197190.0,-12.47,8.28,4.19,-12.31,-0.16,59.23,-0.57,0.0,0.0
2020-07-02,-7248455.0,6267552.0,980902.0,-7172311.0,-76144.0,-7.47,6.46,1.01,-7.39,-0.08,59.3,0.12,0.0,0.0
2020-07-06,-9711815.0,7077020.0,2634795.0,-9237161.0,-474654.0,-4.29,3.13,1.16,-4.08,-0.21,61.62,2.05,0.0,0.0
2020-07-08,-22015226.0,18063575.0,3951652.0,-18389953.0,-3625273.0,-12.13,9.95,2.18,-10.13,-2.0,61.73,-0.93,0.0,0.0
