date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-04-29,69493461.0,-161362253.0,91868803.0,64269447.0,5224014.0,8.14,-18.89,10.76,7.53,0.61,38.03,252.13,0.0,0.0
2020-04-30,-974809.0,-18403933.0,19378752.0,-11458096.0,10483287.0,-0.12,-2.2,2.32,-1.37,1.25,43.0,13.07,0.0,0.0
2020-05-06,-34021344.0,-1736624.0,35757968.0,-10334640.0,-23686704.0,-3.55,-0.18,3.73,-1.08,-2.47,52.23,21.47,0.0,0.0
2020-05-07,-44358255.0,14337725.0,30020528.0,-16175855.0,-28182400.0,-5.54,1.79,3.75,-2.02,-3.52,50.07,-4.14,0.0,0.0
2020-05-08,-61292933.0,37064657.0,24228280.0,-38991980.0,-22300953.0,-8.81,5.32,3.48,-5.6,-3.2,46.82,-6.49,0.0,0.0
2020-05-11,-6732650.0,4935969.0,1796681.0,-5686564.0,-1046086.0,-1.29,0.94,0.34,-1.09,-0.2,47.15,0.7,0.0,0.0
2020-05-12,-82126214.0,46245583.0,35880632.0,-51023505.0,-31102709.0,-14.92,8.4,6.52,-9.27,-5.65,43.02,-8.76,0.0,0.0
2020-05-13,5694008.0,-797997.0,-4896011.0,7458916.0,-1764908.0,1.16,-0.16,-1.0,1.52,-0.36,43.71,1.6,0.0,0.0
2020-05-14,30468438.0,-10060621.0,-20407824.0,27414097.0,3054341.0,4.34,-1.43,-2.91,3.9,0.43,48.13,10.11,0.0,0.0
2020-05-15,93966613.0,-37391931.0,-56574688.0,-13034000.0,107000613.0,10.22,-4.07,-6.15,-1.42,11.64,57.76,20.01,0.0,0.0
2020-05-18,-74205989.0,33886451.0,40319536.0,-72423616.0,-1782373.0,-6.95,3.18,3.78,-6.79,-0.17,54.65,-5.38,0.0,0.0
2020-05-19,-29373233.0,12871816.0,16501408.0,-36127712.0,6754479.0,-3.57,1.57,2.01,-4.39,0.82,57.67,5.53,0.0,0.0
2020-05-20,26530340.0,-10419127.0,-16111216.0,16319516.0,10210824.0,3.38,-1.33,-2.05,2.08,1.3,62.5,8.38,0.0,0.0
2020-05-21,-85371303.0,45656528.0,39714776.0,-56641208.0,-28730095.0,-12.47,6.67,5.8,-8.27,-4.2,56.8,-9.12,0.0,0.0
2020-05-22,-1124557.0,1364202.0,-239644.0,5789740.0,-6914297.0,-0.23,0.28,-0.05,1.18,-1.41,56.8,0.0,0.0,0.0
2020-05-25,-71194886.0,46928158.0,24266730.0,-54538616.0,-16656270.0,-15.51,10.23,5.29,-11.88,-3.63,50.93,-10.33,0.0,0.0
2020-05-26,59474056.0,-18919154.0,-40554903.0,27415586.0,32058470.0,11.96,-3.81,-8.16,5.51,6.45,56.14,10.23,0.0,0.0
2020-05-27,-42597375.0,14985444.0,27611930.0,-54915663.0,12318288.0,-8.03,2.82,5.2,-10.35,2.32,56.19,0.09,0.0,0.0
2020-05-28,141186440.0,-47704445.0,-93482000.0,25072512.0,116113928.0,13.66,-4.62,-9.05,2.43,11.24,66.78,18.85,0.0,0.0
