date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-05-21,104017141.0,-179198544.0,75181409.0,77093573.0,26923568.0,11.57,-19.93,8.36,8.57,2.99,62.2,167.18,0.0,0.0
2020-05-22,19482756.0,-38489769.0,19007024.0,1882032.0,17600724.0,2.3,-4.55,2.25,0.22,2.08,64.3,3.38,0.0,0.0
2020-05-25,-54738575.0,23686359.0,31052216.0,-38122222.0,-16616353.0,-9.46,4.09,5.37,-6.59,-2.87,56.68,-11.85,0.0,0.0
2020-05-26,27444601.0,-21367080.0,-6077521.0,34715622.0,-7271021.0,4.43,-3.45,-0.98,5.6,-1.17,61.16,7.9,0.0,0.0
2020-05-27,-67984663.0,26066456.0,41918207.0,-41018865.0,-26965798.0,-13.28,5.09,8.19,-8.01,-5.27,58.89,-3.71,0.0,0.0
2020-05-28,-54132525.0,32335479.0,21797047.0,-40044557.0,-14087968.0,-13.54,8.09,5.45,-10.02,-3.52,56.4,-4.23,0.0,0.0
2020-05-29,-52287731.0,31918434.0,20369297.0,-35918958.0,-16368773.0,-16.42,10.02,6.4,-11.28,-5.14,53.98,-4.29,0.0,0.0
2020-06-01,16994521.0,-15459421.0,-1535100.0,17738772.0,-744251.0,3.93,-3.58,-0.36,4.11,-0.17,57.87,7.21,0.0,0.0
2020-06-02,7742209.0,-2994283.0,-4747926.0,-2925952.0,10668161.0,1.63,-0.63,-1.0,-0.61,2.24,60.13,3.91,0.0,0.0
2020-06-03,-51404936.0,28381542.0,23023395.0,-37145309.0,-14259627.0,-16.48,9.1,7.38,-11.91,-4.57,57.97,-3.59,0.0,0.0
2020-06-04,-3186233.0,6496670.0,-3310437.0,2161400.0,-5347633.0,-1.28,2.62,-1.33,0.87,-2.15,58.13,0.28,0.0,0.0
2020-06-05,-38175227.0,29350576.0,8824650.0,-35502624.0,-2672603.0,-16.96,13.04,3.92,-15.77,-1.19,56.16,-3.39,0.0,0.0
2020-06-08,23628212.0,-9449286.0,-14178926.0,15922394.0,7705818.0,9.42,-3.77,-5.65,6.35,3.07,57.21,1.87,0.0,0.0
2020-06-09,-35545010.0,27896515.0,7648495.0,-27297756.0,-8247254.0,-19.68,15.44,4.23,-15.11,-4.57,55.3,-3.34,0.0,0.0
2020-06-10,-52316736.0,37098528.0,15218209.0,-47095929.0,-5220807.0,-25.08,17.79,7.3,-22.58,-2.5,52.81,-4.5,0.0,0.0
2020-06-11,-2611971.0,1917278.0,694694.0,-2652457.0,40486.0,-2.14,1.57,0.57,-2.17,0.03,53.3,0.93,0.0,0.0
2020-06-12,-11791881.0,9572738.0,2219143.0,-6822964.0,-4968917.0,-10.84,8.8,2.04,-6.27,-4.57,52.26,-1.95,0.0,0.0
2020-06-15,-19505155.0,12943639.0,6561517.0,-17347241.0,-2157914.0,-16.6,11.02,5.59,-14.77,-1.84,51.37,-1.7,0.0,0.0
2020-06-16,4481420.0,-4052773.0,-428648.0,3861171.0,620249.0,3.45,-3.12,-0.33,2.97,0.48,53.0,3.17,0.0,0.0
2020-06-18,-1428130.0,910273.0,517857.0,-1511330.0,83200.0,-1.2,0.77,0.44,-1.27,0.07,53.39,-0.71,0.0,0.0
2020-06-19,-9076532.0,9254823.0,-178290.0,-6586655.0,-2489877.0,-10.64,10.84,-0.21,-7.72,-2.92,52.55,-1.57,0.0,0.0
2020-06-22,2618179.0,-1743797.0,-874383.0,-945806.0,3563985.0,2.53,-1.68,-0.84,-0.91,3.44,53.63,2.06,0.0,0.0
2020-06-23,-7619541.0,7020405.0,599136.0,-7227496.0,-392045.0,-8.94,8.24,0.7,-8.48,-0.46,53.35,-0.52,0.0,0.0
2020-06-29,8115504.0,-4207259.0,-3908246.0,818499.0,7297005.0,4.93,-2.56,-2.37,0.5,4.43,54.94,1.55,0.0,0.0
2020-06-30,-21460260.0,9855777.0,11604483.0,-9631542.0,-11828718.0,-13.51,6.2,7.3,-6.06,-7.44,54.65,-0.53,0.0,0.0
2020-07-01,-21987182.0,18015796.0,3971387.0,-18266333.0,-3720849.0,-15.67,12.84,2.83,-13.02,-2.65,53.31,-2.45,0.0,0.0
2020-07-02,-10633644.0,8759489.0,1874155.0,-9719375.0,-914269.0,-10.66,8.78,1.88,-9.75,-0.92,53.36,0.09,0.0,0.0
2020-07-06,-21741401.0,5268012.0,16473390.0,-34977553.0,13236152.0,-5.09,1.23,3.86,-8.19,3.1,61.16,1.59,0.0,0.0
2020-07-08,-22460337.0,9992198.0,12468139.0,-16718710.0,-5741627.0,-6.83,3.04,3.79,-5.08,-1.74,62.0,3.84,0.0,0.0
