date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-878.0,-3825.0,4702.0,-878.0,0.0,-0.43,-1.89,2.32,-0.43,0.0,1.465,-0.95,0.0,0.0
2020-01-09,14050.0,-135.0,-13915.0,14050.0,0.0,10.42,-0.1,-10.32,10.42,0.0,1.4769999999999999,0.82,0.0,0.0
2020-01-10,6932.0,19237.0,-26169.0,6932.0,0.0,6.33,17.56,-23.89,6.33,0.0,1.473,-0.27,0.0,0.0
2020-01-13,-14816.0,24184.0,-9369.0,-14816.0,0.0,-7.07,11.55,-4.47,-7.07,0.0,1.4669999999999999,-0.41,0.0,0.0
2020-01-14,23511.0,-10889.0,-12623.0,23511.0,0.0,6.13,-2.84,-3.29,6.13,0.0,1.482,1.02,0.0,0.0
2020-01-15,55131.0,-27726.0,-27405.0,55131.0,0.0,22.92,-11.53,-11.39,22.92,0.0,1.483,0.07,0.0,0.0
2020-01-16,-17410.0,70056.0,-52645.0,-17410.0,0.0,-2.4,9.65,-7.25,-2.4,0.0,1.4869999999999999,0.27,0.0,0.0
2020-01-17,8976.0,18537.0,-27513.0,8976.0,0.0,5.12,10.57,-15.68,5.12,0.0,1.492,0.34,0.0,0.0
2020-01-20,-32023.0,77315.0,-45292.0,-32023.0,0.0,-8.71,21.02,-12.32,-8.71,0.0,1.4769999999999999,-1.01,0.0,0.0
2020-01-21,-5298.0,42097.0,-36799.0,-5298.0,0.0,-1.92,15.27,-13.34,-1.92,0.0,1.464,-0.88,0.0,0.0
2020-01-22,-37444.0,44703.0,-7259.0,-37444.0,0.0,-9.29,11.09,-1.8,-9.29,0.0,1.4780000000000002,0.96,0.0,0.0
2020-01-23,-16521.0,25449.0,-8928.0,-16521.0,0.0,-4.05,6.24,-2.19,-4.05,0.0,1.454,-1.62,0.0,0.0
2020-02-03,-128507.0,95405.0,33102.0,-69471.0,-59036.0,-8.4,6.23,2.16,-4.54,-3.86,1.3090000000000002,-9.97,0.0,0.0
2020-02-04,28336.0,-3921.0,-24415.0,28336.0,0.0,3.49,-0.48,-3.0,3.49,0.0,1.3419999999999999,2.52,0.0,0.0
2020-02-05,5126.0,54445.0,-59571.0,5126.0,0.0,1.05,11.11,-12.16,1.05,0.0,1.358,1.19,0.0,0.0
2020-02-06,0.0,34417.0,-34417.0,0.0,0.0,0.0,9.48,-9.48,0.0,0.0,1.348,-0.74,0.0,0.0
2020-02-07,-3857.0,25560.0,-21702.0,-3857.0,0.0,-1.63,10.83,-9.19,-1.63,0.0,1.33,-1.34,0.0,0.0
2020-02-10,21376.0,9692.0,-31067.0,21376.0,0.0,4.96,2.25,-7.21,4.96,0.0,1.339,0.68,0.0,0.0
2020-02-11,-73044.0,40318.0,32726.0,2157.0,-75201.0,-22.72,12.54,10.18,0.67,-23.39,1.33,-0.67,0.0,0.0
2020-02-12,0.0,35233.0,-35233.0,0.0,0.0,0.0,20.84,-20.84,0.0,0.0,1.33,0.0,0.0,0.0
2020-02-13,22749.0,8891.0,-31639.0,22749.0,0.0,14.69,5.74,-20.43,14.69,0.0,1.319,-0.83,0.0,0.0
2020-02-14,0.0,-11438.0,11438.0,0.0,0.0,0.0,-16.22,16.22,0.0,0.0,1.3319999999999999,0.99,0.0,0.0
2020-02-17,23212.0,-48015.0,24804.0,23212.0,0.0,3.99,-8.26,4.27,3.99,0.0,1.383,3.83,0.0,0.0
2020-02-18,-3462.0,-10609.0,14071.0,-3462.0,0.0,-1.87,-5.72,7.59,-1.87,0.0,1.3880000000000001,0.36,0.0,0.0
2020-02-19,0.0,-18503.0,18503.0,0.0,0.0,0.0,-13.2,13.2,0.0,0.0,1.3869999999999998,-0.07,0.0,0.0
2020-02-20,0.0,-16129.0,16129.0,0.0,0.0,0.0,-5.3,5.3,0.0,0.0,1.4080000000000001,1.51,0.0,0.0
