date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,0.0,23525.0,-23525.0,0.0,0.0,0.0,18.7,-18.7,0.0,0.0,0.938,-0.74,0.0,0.0
2020-01-09,0.0,-126.0,126.0,0.0,0.0,0.0,-0.17,0.17,0.0,0.0,0.941,0.32,0.0,0.0
2020-01-10,0.0,-1982.0,1982.0,0.0,0.0,0.0,-3.36,3.36,0.0,0.0,0.932,-0.96,0.0,0.0
2020-01-13,0.0,14502.0,-14502.0,0.0,0.0,0.0,18.98,-18.98,0.0,0.0,0.94,0.86,0.0,0.0
2020-01-14,0.0,12698.0,-12697.0,0.0,0.0,0.0,10.05,-10.05,0.0,0.0,0.925,-1.6,0.0,0.0
2020-01-15,0.0,5758.0,-5758.0,0.0,0.0,0.0,5.93,-5.93,0.0,0.0,0.9329999999999999,0.86,0.0,0.0
2020-01-16,1401.0,7533.0,-8933.0,1401.0,0.0,1.04,5.59,-6.63,1.04,0.0,0.9359999999999999,0.32,0.0,0.0
2020-01-17,0.0,-7006.0,7006.0,0.0,0.0,0.0,-6.2,6.2,0.0,0.0,0.943,0.75,0.0,0.0
2020-01-20,8221.0,26969.0,-35190.0,8221.0,0.0,4.71,15.45,-20.15,4.71,0.0,0.937,-0.64,0.0,0.0
2020-01-21,11026.0,27064.0,-38090.0,11026.0,0.0,4.82,11.84,-16.66,4.82,0.0,0.914,-2.45,0.0,0.0
2020-01-22,-3648.0,29283.0,-25634.0,-3648.0,0.0,-1.57,12.6,-11.03,-1.57,0.0,0.889,-2.74,0.0,0.0
2020-01-23,-22252.0,41150.0,-18897.0,-22252.0,0.0,-6.06,11.21,-5.15,-6.06,0.0,0.848,-4.61,0.0,0.0
2020-02-03,68784.0,18313.0,-87096.0,-160116.0,228900.0,9.5,2.53,-12.03,-22.11,31.62,0.763,-10.02,0.0,0.0
2020-02-04,-65803.0,31218.0,34585.0,-65803.0,0.0,-10.75,5.1,5.65,-10.75,0.0,0.763,0.0,0.0,0.0
2020-02-05,-92289.0,131399.0,-39110.0,-92289.0,0.0,-15.86,22.57,-6.72,-15.86,0.0,0.764,0.13,0.0,0.0
2020-02-06,-10271.0,66391.0,-56120.0,-10271.0,0.0,-1.68,10.87,-9.19,-1.68,0.0,0.7659999999999999,0.26,0.0,0.0
2020-02-07,6674.0,-7967.0,1294.0,6674.0,0.0,2.11,-2.52,0.41,2.11,0.0,0.774,1.04,0.0,0.0
2020-02-10,10544.0,-13528.0,2982.0,10544.0,0.0,3.59,-4.61,1.02,3.59,0.0,0.7809999999999999,0.9,0.0,0.0
2020-02-11,40284.0,-71757.0,31472.0,40284.0,0.0,13.9,-24.76,10.86,13.9,0.0,0.794,1.66,0.0,0.0
2020-02-12,13420.0,-48916.0,35495.0,5250.0,8170.0,7.52,-27.42,19.9,2.94,4.58,0.8009999999999999,0.88,0.0,0.0
2020-02-13,6537.0,-26997.0,20461.0,6537.0,0.0,3.72,-15.35,11.64,3.72,0.0,0.7959999999999999,-0.62,0.0,0.0
2020-02-14,-5018.0,9041.0,-4022.0,-5018.0,0.0,-2.89,5.21,-2.32,-2.89,0.0,0.7859999999999999,-1.26,0.0,0.0
