date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-09,-846490064.0,534469632.0,312020480.0,-374080000.0,-472410064.0,-4.47,2.82,1.65,-1.98,-2.5,929.96,1.57,0.0,0.0
2020-01-10,-675126352.0,505981632.0,169144832.0,-487543568.0,-187582784.0,-4.57,3.42,1.14,-3.3,-1.27,925.17,-0.52,0.0,0.0
2020-01-13,-900066864.0,829524496.0,70542336.0,-522283280.0,-377783584.0,-6.31,5.82,0.49,-3.66,-2.65,927.48,0.25,0.0,0.0
2020-01-14,-692567280.0,734172992.0,-41605632.0,-556122432.0,-136444848.0,-4.6,4.88,-0.28,-3.69,-0.91,923.45,-0.43,0.0,0.0
2020-01-15,-950746880.0,904222784.0,46524416.0,-539441200.0,-411305680.0,-6.95,6.61,0.34,-3.94,-3.01,916.06,-0.8,0.0,0.0
2020-01-16,-893521200.0,916562912.0,-23041792.0,-587397232.0,-306123968.0,-6.29,6.45,-0.16,-4.13,-2.15,911.71,-0.47,0.0,0.0
2020-01-17,-857552976.0,835372240.0,22180864.0,-595883328.0,-261669648.0,-6.05,5.89,0.16,-4.2,-1.85,902.78,-0.98,0.0,0.0
2020-01-20,-832836240.0,655759552.0,177076736.0,-590051856.0,-242784384.0,-5.3,4.17,1.13,-3.75,-1.54,901.1,-0.19,0.0,0.0
2020-01-21,-1019571120.0,791327408.0,228243712.0,-473386288.0,-546184832.0,-7.17,5.56,1.6,-3.33,-3.84,887.18,-1.54,0.0,0.0
2020-01-22,-731448352.0,523018112.0,208430336.0,-457691568.0,-273756784.0,-5.22,3.74,1.49,-3.27,-1.95,884.04,-0.35,0.0,0.0
2020-01-23,-389402560.0,573486848.0,-184084224.0,-461807616.0,72405056.0,-2.14,3.15,-1.01,-2.54,0.4,861.96,-2.5,0.0,0.0
2020-02-03,-544403792.0,704785920.0,-160382144.0,-667997328.0,123593536.0,-3.7,4.79,-1.09,-4.54,0.84,786.94,-8.7,0.0,0.0
