date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-09,1670181744.0,-974864272.0,-695317504.0,441751312.0,1228430432.0,11.65,-6.8,-4.85,3.08,8.57,1528.81,4.44,0.0,0.0
2020-01-10,-954529104.0,690615344.0,263913776.0,-492423072.0,-462106032.0,-9.08,6.57,2.51,-4.68,-4.39,1506.07,-1.49,0.0,0.0
2020-01-13,760911552.0,-239823392.0,-521088144.0,-398417856.0,1159329408.0,6.35,-2.0,-4.35,-3.32,9.67,1521.23,1.01,0.0,0.0
2020-01-14,-676788976.0,544647552.0,132141440.0,-285238208.0,-391550768.0,-5.86,4.72,1.14,-2.47,-3.39,1517.3,-0.26,0.0,0.0
2020-01-15,-155849936.0,189619376.0,-33769440.0,-224872672.0,69022736.0,-1.62,1.97,-0.35,-2.34,0.72,1528.08,0.71,0.0,0.0
2020-01-16,-568525040.0,472030096.0,96494960.0,-248494032.0,-320031008.0,-6.44,5.35,1.09,-2.82,-3.63,1517.02,-0.72,0.0,0.0
2020-01-17,-226167024.0,232554112.0,-6387072.0,-208674864.0,-17492160.0,-2.35,2.41,-0.07,-2.17,-0.18,1509.09,-0.52,0.0,0.0
2020-01-20,-228967600.0,206722720.0,22244896.0,-49024784.0,-179942816.0,-2.31,2.09,0.22,-0.5,-1.82,1525.3,1.07,0.0,0.0
2020-01-21,-839527520.0,619353408.0,220174128.0,-382881504.0,-456646016.0,-10.41,7.68,2.73,-4.75,-5.66,1499.5,-1.69,0.0,0.0
2020-01-22,350739856.0,-2781056.0,-347958816.0,-89114432.0,439854288.0,3.3,-0.03,-3.27,-0.84,4.14,1514.26,0.98,0.0,0.0
2020-01-23,-1765898576.0,1242473312.0,523425376.0,-750209456.0,-1015689120.0,-14.63,10.3,4.34,-6.22,-8.42,1447.97,-4.38,0.0,0.0
2020-02-03,-159108144.0,254034832.0,-94926688.0,-219900144.0,60792000.0,-6.41,10.23,-3.82,-8.86,2.45,1316.51,-9.08,0.0,0.0
