date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-498724224.0,468398896.0,30325344.0,-321200336.0,-177523888.0,-8.57,8.05,0.52,-5.52,-3.05,12234.74,-1.78,0.0,0.0
2020-01-09,285425696.0,-134275808.0,-151149888.0,136602432.0,148823264.0,4.47,-2.1,-2.37,2.14,2.33,12464.86,1.88,0.0,0.0
2020-01-10,243945328.0,-153827184.0,-90118160.0,12184512.0,231760816.0,3.24,-2.05,-1.2,0.16,3.08,12664.47,1.6,0.0,0.0
2020-01-13,-443409920.0,349680672.0,93729248.0,-332417872.0,-110992048.0,-5.49,4.33,1.16,-4.12,-1.37,12698.28,0.27,0.0,0.0
2020-01-14,-477743760.0,383468144.0,94275616.0,-209657360.0,-268086400.0,-7.02,5.64,1.39,-3.08,-3.94,12647.0,-0.4,0.0,0.0
2020-01-15,-437091433.0,382020608.0,55070832.0,-265801920.0,-171289513.0,-7.33,6.41,0.92,-4.46,-2.87,12571.62,-0.6,0.0,0.0
2020-01-16,-229347136.0,236839568.0,-7492432.0,-142006048.0,-87341088.0,-4.3,4.44,-0.14,-2.66,-1.64,12491.48,-0.64,0.0,0.0
2020-01-17,-204130252.0,263730384.0,-59600144.0,-172370496.0,-31759756.0,-4.28,5.53,-1.25,-3.62,-0.67,12433.99,-0.46,0.0,0.0
2020-01-20,-338056192.0,354050880.0,-15994688.0,-206247376.0,-131808816.0,-6.3,6.6,-0.3,-3.84,-2.46,12444.42,0.08,0.0,0.0
2020-01-21,-697464059.0,656991424.0,40472640.0,-438049136.0,-259414923.0,-12.43,11.71,0.72,-7.81,-4.62,12197.15,-1.99,0.0,0.0
2020-01-22,-162258656.0,183768416.0,-21509760.0,-181820672.0,19562016.0,-3.22,3.65,-0.43,-3.61,0.39,12097.34,-0.82,0.0,0.0
2020-01-23,-711650896.0,687101472.0,24549424.0,-448113680.0,-263537216.0,-11.08,10.69,0.38,-6.98,-4.1,11632.38,-3.84,0.0,0.0
2020-02-03,83379392.0,132373120.0,-215752512.0,-202354720.0,285734112.0,2.0,3.18,-5.18,-4.86,6.86,10552.05,-9.29,0.0,0.0
2020-02-04,-285498912.0,240186768.0,45312176.0,-308067856.0,22568944.0,-3.56,3.0,0.57,-3.85,0.28,10401.73,-1.42,0.0,0.0
2020-02-05,-230380768.0,146971200.0,83409568.0,-198234288.0,-32146480.0,-3.51,2.24,1.27,-3.02,-0.49,10577.85,1.69,0.0,0.0
2020-02-06,109452896.0,-58208416.0,-51244480.0,15430448.0,94022448.0,1.53,-0.81,-0.72,0.22,1.32,10761.1,1.73,0.0,0.0
2020-02-07,-97916288.0,108087216.0,-10170944.0,-59715648.0,-38200640.0,-1.71,1.89,-0.18,-1.04,-0.67,10821.02,0.56,0.0,0.0
2020-02-10,-20913824.0,-48540000.0,69453824.0,-124871856.0,103958032.0,-0.3,-0.69,0.99,-1.79,1.49,11124.39,2.8,0.0,0.0
2020-02-11,-286375296.0,220085616.0,66289680.0,-179049232.0,-107326064.0,-4.71,3.62,1.09,-2.94,-1.76,11076.09,-0.43,0.0,0.0
2020-02-12,-136181552.0,132718512.0,3463040.0,-97557808.0,-38623744.0,-2.68,2.61,0.07,-1.92,-0.76,11153.37,0.7,0.0,0.0
2020-02-13,-356749888.0,332882080.0,23867808.0,-268787840.0,-87962048.0,-7.35,6.86,0.49,-5.54,-1.81,10941.58,-1.9,0.0,0.0
2020-02-14,-234372356.0,205400560.0,28971808.0,-170647840.0,-63724516.0,-6.06,5.31,0.75,-4.41,-1.65,10935.72,-0.05,0.0,0.0
