date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-326836358.0,306390096.0,20446256.0,-187372768.0,-139463590.0,-8.08,7.57,0.51,-4.63,-3.45,468.84,-1.86,0.0,0.0
2020-01-09,-34048221.0,48512384.0,-14464144.0,1713088.0,-35761309.0,-1.01,1.43,-0.43,0.05,-1.06,476.57,1.65,0.0,0.0
2020-01-10,-111451417.0,108902096.0,2549344.0,-83454288.0,-27997129.0,-3.07,3.0,0.07,-2.3,-0.77,476.95,0.08,0.0,0.0
2020-01-13,-69187551.0,96284976.0,-27097408.0,-84918656.0,15731105.0,-1.79,2.5,-0.7,-2.2,0.41,480.0,0.64,0.0,0.0
2020-01-14,591737328.0,-246555248.0,-345182080.0,58879056.0,532858272.0,7.87,-3.28,-4.59,0.78,7.08,491.36,2.37,0.0,0.0
2020-01-15,-444798989.0,295663472.0,149135504.0,-286820416.0,-157978573.0,-7.67,5.1,2.57,-4.95,-2.73,486.79,-0.93,0.0,0.0
2020-01-16,-204388268.0,255704960.0,-51316704.0,-188471744.0,-15916524.0,-4.9,6.13,-1.23,-4.52,-0.38,480.99,-1.19,0.0,0.0
2020-01-17,-231715375.0,170338864.0,61376496.0,-157036768.0,-74678607.0,-6.22,4.57,1.65,-4.21,-2.0,476.94,-0.84,0.0,0.0
2020-01-20,-141332908.0,143878336.0,-2545424.0,-103841984.0,-37490924.0,-4.38,4.45,-0.08,-3.21,-1.16,479.04,0.44,0.0,0.0
2020-01-21,-258092068.0,230670032.0,27422032.0,-204536960.0,-53555108.0,-7.07,6.31,0.75,-5.6,-1.47,472.55,-1.35,0.0,0.0
2020-01-22,-119354112.0,148399936.0,-29045808.0,-99542240.0,-19811872.0,-3.78,4.69,-0.92,-3.15,-0.63,471.29,-0.27,0.0,0.0
2020-01-23,-488071127.0,442450720.0,45620416.0,-346405792.0,-141665335.0,-12.78,11.58,1.19,-9.07,-3.71,453.55,-3.76,0.0,0.0
2020-02-03,-169804285.0,207913792.0,-38109504.0,-158377392.0,-11426893.0,-9.84,12.05,-2.21,-9.18,-0.66,407.41,-10.17,0.0,0.0
2020-02-04,-278649854.0,225237120.0,53412736.0,-130571056.0,-148078798.0,-5.96,4.82,1.14,-2.79,-3.17,402.83,-1.12,0.0,0.0
2020-02-05,-117909314.0,123535472.0,-5626160.0,-140936368.0,23027054.0,-2.85,2.99,-0.14,-3.41,0.56,415.65,3.18,0.0,0.0
2020-02-06,241446674.0,-93140560.0,-148306144.0,74205648.0,167241026.0,4.5,-1.74,-2.76,1.38,3.12,434.91,4.63,0.0,0.0
2020-02-07,-255354016.0,273185232.0,-17831200.0,-281719168.0,26365152.0,-2.81,3.01,-0.2,-3.1,0.29,460.07,5.79,0.0,0.0
2020-02-10,-560061936.0,487521120.0,72540816.0,-397688464.0,-162373472.0,-5.57,4.85,0.72,-3.95,-1.61,462.98,0.63,0.0,0.0
2020-02-11,-571839028.0,533480992.0,38358064.0,-380116240.0,-191722788.0,-9.59,8.95,0.64,-6.37,-3.21,446.47,-3.57,0.0,0.0
2020-02-12,-47965049.0,59147968.0,-11182912.0,-20851664.0,-27113385.0,-1.2,1.48,-0.28,-0.52,-0.68,452.57,1.37,0.0,0.0
2020-02-13,-363478999.0,335953408.0,27525600.0,-259824288.0,-103654711.0,-6.5,6.01,0.49,-4.65,-1.85,451.96,-0.13,0.0,0.0
2020-02-14,-151099140.0,167864256.0,-16765104.0,-137005744.0,-14093396.0,-3.45,3.83,-0.38,-3.13,-0.32,450.06,-0.42,0.0,0.0
2020-02-17,24285180.0,15784304.0,-40069488.0,-19788848.0,44074028.0,0.46,0.3,-0.76,-0.38,0.84,463.2,2.92,0.0,0.0
2020-02-18,-126548661.0,64113488.0,62435168.0,-117839552.0,-8709109.0,-2.19,1.11,1.08,-2.04,-0.15,469.84,1.43,0.0,0.0
2020-02-19,-144564066.0,171632720.0,-27068656.0,-168973952.0,24409886.0,-2.33,2.77,-0.44,-2.73,0.39,465.18,-0.99,0.0,0.0
2020-02-20,-137041812.0,138425152.0,-1383312.0,-179612848.0,42571036.0,-2.58,2.6,-0.03,-3.38,0.8,470.2,1.08,0.0,0.0
2020-02-21,-214317110.0,199517984.0,14799136.0,-204095728.0,-10221382.0,-3.85,3.59,0.27,-3.67,-0.18,472.11,0.41,0.0,0.0
2020-02-24,-290082559.0,221543472.0,68539088.0,-255004736.0,-35077823.0,-4.93,3.77,1.17,-4.34,-0.6,474.18,0.44,0.0,0.0
2020-02-25,-468411984.0,510341536.0,-41929536.0,-344528768.0,-123883216.0,-7.7,8.39,-0.69,-5.66,-2.04,465.06,-1.92,0.0,0.0
2020-02-26,-251821025.0,263323088.0,-11502080.0,-191419920.0,-60401105.0,-3.77,3.94,-0.17,-2.87,-0.9,465.45,0.08,0.0,0.0
2020-02-27,293076720.0,-33053808.0,-260022880.0,72348224.0,220728496.0,3.37,-0.38,-2.99,0.83,2.54,476.26,2.32,0.0,0.0
2020-02-28,-595022336.0,575904784.0,19117568.0,-436390912.0,-158631424.0,-7.64,7.4,0.25,-5.6,-2.04,451.45,-5.21,0.0,0.0
2020-03-02,188142288.0,-51401712.0,-136740576.0,-21894672.0,210036960.0,2.41,-0.66,-1.75,-0.28,2.69,471.81,4.51,0.0,0.0
2020-03-03,-212823600.0,164231872.0,48591728.0,-148754784.0,-64068816.0,-2.18,1.68,0.5,-1.52,-0.66,482.28,2.22,0.0,0.0
2020-03-04,-125707184.0,281125136.0,-155417968.0,-178485328.0,52778144.0,-1.32,2.96,-1.64,-1.88,0.56,492.44,2.11,0.0,0.0
2020-03-05,-223516432.0,245170624.0,-21654192.0,-189998080.0,-33518352.0,-2.55,2.8,-0.25,-2.17,-0.38,497.74,1.08,0.0,0.0
