ts_code,symbol,name,area,industry,market,list_status,list_date,delist_date,industry_code
000001.SZ,000001,平安银行,深圳,银行,主板,L,19910403,,0
000002.SZ,000002,万科A,深圳,全国地产,主板,L,19910129,,1
000004.SZ,000004,国农科技,深圳,互联网,主板,L,19910114,,2
000005.SZ,000005,世纪星源,深圳,环境保护,主板,L,19901210,,3
000006.SZ,000006,深振业A,深圳,区域地产,主板,L,19920427,,4
000007.SZ,000007,全新好,深圳,酒店餐饮,主板,L,19920413,,5
000008.SZ,000008,神州高铁,北京,运输设备,主板,L,19920507,,6
000009.SZ,000009,中国宝安,深圳,综合类,主板,L,19910625,,7
000010.SZ,000010,美丽生态,深圳,建筑工程,主板,L,19951027,,8
000011.SZ,000011,深物业A,深圳,区域地产,主板,L,19920330,,4
000012.SZ,000012,南玻A,深圳,玻璃,主板,L,19920228,,9
000014.SZ,000014,沙河股份,深圳,全国地产,主板,L,19920602,,1
000016.SZ,000016,深康佳A,深圳,家用电器,主板,L,19920327,,10
000017.SZ,000017,*ST中华A,深圳,文教休闲,主板,L,19920331,,11
000019.SZ,000019,深粮控股,深圳,其他商业,主板,L,19921012,,12
000020.SZ,000020,深华发A,深圳,元器件,主板,L,19920428,,13
000021.SZ,000021,深科技,深圳,IT设备,主板,L,19940202,,14
000023.SZ,000023,深天地A,深圳,其他建材,主板,L,19930429,,15
000025.SZ,000025,特力A,深圳,汽车服务,主板,L,19930621,,16
000026.SZ,000026,飞亚达,深圳,其他商业,主板,L,19930603,,12
000027.SZ,000027,深圳能源,深圳,火力发电,主板,L,19930903,,17
000028.SZ,000028,国药一致,深圳,医药商业,主板,L,19930809,,18
000029.SZ,000029,深深房A,深圳,区域地产,主板,L,19930915,,4
000030.SZ,000030,富奥股份,吉林,汽车配件,主板,L,19930929,,19
000031.SZ,000031,大悦城,深圳,全国地产,主板,L,19931008,,1
000032.SZ,000032,深桑达A,深圳,元器件,主板,L,19931028,,13
000034.SZ,000034,神州数码,深圳,综合类,主板,L,19940509,,7
000035.SZ,000035,中国天楹,江苏,环境保护,主板,L,19940408,,3
000036.SZ,000036,华联控股,深圳,全国地产,主板,L,19940617,,1
000037.SZ,000037,深南电A,深圳,火力发电,主板,L,19940701,,17
000038.SZ,000038,深大通,深圳,广告包装,主板,L,19940808,,20
